t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,740.0,1121.0,516.0,1440.0,-0.8054,-0.5174,-0.5571,-0.8831,0,0,1,0,0,0,0,0,1,553.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,742.0,1121.0,516.0,1441.0,0.2014,0.7037,0.1616,0.62,0,0,1,0,0,0,0,0,1,536.0,WAIT,等待掉台触发,0,0,1
0.061,741.0,1124.0,516.0,1440.0,0.2041,0.7037,0.1616,0.62,0,0,1,0,0,0,0,0,1,469.0,WAIT,等待掉台触发,0,0,1
0.081,740.0,1120.0,514.0,1437.0,0.2041,0.7037,0.1616,0.62,0,0,1,0,0,0,0,0,1,484.0,WAIT,等待掉台触发,0,0,1
0.101,740.0,1121.0,514.0,1439.0,0.2014,0.7037,0.156,0.618,0,0,1,0,0,0,0,0,1,568.0,WAIT,等待掉台触发,0,0,1
0.121,737.0,1116.0,513.0,1433.0,0.2014,0.7015,0.156,0.6138,0,0,1,0,0,0,0,0,1,252.0,WAIT,等待掉台触发,0,0,1
0.141,740.0,1121.0,514.0,1438.0,0.2014,0.7037,0.156,0.6159,0,0,1,0,0,0,0,0,1,552.0,WAIT,等待掉台触发,0,0,1
0.161,741.0,1120.0,515.0,1440.0,0.2014,0.7015,0.156,0.6159,0,0,1,0,0,0,0,0,1,505.0,WAIT,等待掉台触发,0,0,1
0.181,742.0,1125.0,517.0,1443.0,0.2041,0.7037,0.1588,0.62,0,0,1,0,0,0,0,0,1,713.0,WAIT,等待掉台触发,0,0,1
0.201,741.0,1122.0,516.0,1440.0,0.2041,0.7059,0.1616,0.62,0,0,1,0,0,0,0,0,1,470.0,WAIT,等待掉台触发,0,0,1
0.222,742.0,1124.0,517.0,1442.0,0.2068,0.7102,0.1643,0.6242,0,0,1,0,0,0,0,0,1,647.0,WAIT,等待掉台触发,0,0,1
0.242,743.0,1125.0,517.0,1443.0,0.2068,0.7102,0.1643,0.6242,0,0,1,0,0,0,0,0,1,506.0,WAIT,等待掉台触发,0,0,1
0.262,742.0,1121.0,515.0,1441.0,0.2068,0.7102,0.1643,0.6242,0,0,1,0,0,0,0,0,1,258.0,WAIT,等待掉台触发,0,0,1
0.282,741.0,1123.0,516.0,1441.0,0.2068,0.7081,0.1616,0.6221,0,0,1,0,0,0,0,0,1,487.0,WAIT,等待掉台触发,0,0,1
0.302,742.0,1123.0,516.0,1442.0,0.2068,0.7081,0.1616,0.6221,0,0,1,0,0,0,0,0,1,243.0,WAIT,等待掉台触发,0,0,1
0.322,743.0,1123.0,517.0,1441.0,0.2068,0.7081,0.1616,0.6221,0,0,1,0,0,0,0,0,1,713.0,WAIT,等待掉台触发,0,0,1
0.342,742.0,1123.0,516.0,1441.0,0.2068,0.7081,0.1616,0.6221,0,0,1,0,0,0,0,0,1,536.0,WAIT,等待掉台触发,0,0,1
0.362,742.0,1125.0,517.0,1444.0,0.2068,0.7081,0.1643,0.6221,0,0,1,0,0,0,0,0,1,570.0,WAIT,等待掉台触发,0,0,1
0.382,741.0,1122.0,516.0,1440.0,0.2068,0.7081,0.1616,0.6221,0,0,1,0,0,0,0,0,1,487.0,WAIT,等待掉台触发,0,0,1
0.402,742.0,1124.0,518.0,1441.0,0.2068,0.7102,0.1643,0.6221,0,0,1,0,0,0,0,0,1,531.0,WAIT,等待掉台触发,0,0,1
0.422,740.0,1121.0,515.0,1438.0,0.2041,0.7059,0.1616,0.62,0,0,1,0,0,0,0,0,1,515.0,WAIT,等待掉台触发,0,0,1
0.443,740.0,1121.0,514.0,1437.0,0.2014,0.7037,0.1588,0.6159,0,0,1,0,0,0,0,0,1,569.0,WAIT,等待掉台触发,0,0,1
