t,left,right,diff,valid
3.521,20.0,21.0,-1.0,1
3.541,52.0,19.0,33.0,1
3.561,41.0,20.0,21.0,1
3.581,315.0,20.0,295.0,1
3.602,33.0,20.0,13.0,1
3.622,134.0,20.0,114.0,1
3.642,52.0,20.0,32.0,1
3.662,17.0,21.0,-4.0,1
3.682,93.0,20.0,73.0,1
3.702,17.0,22.0,-5.0,1
3.722,43.0,32.0,11.0,1
3.742,69.0,20.0,49.0,1
3.763,316.0,20.0,296.0,1
3.783,78.0,21.0,57.0,1
3.803,134.0,20.0,114.0,1
3.823,44.0,21.0,23.0,1
3.843,17.0,20.0,-3.0,1
3.863,42.0,20.0,22.0,1
3.883,145.0,21.0,124.0,1
3.903,136.0,21.0,115.0,1
3.923,69.0,20.0,49.0,1
3.943,42.0,20.0,22.0,1
3.963,33.0,20.0,13.0,1
3.984,144.0,20.0,124.0,1
4.004,69.0,24.0,45.0,1
4.024,82.0,32.0,50.0,1
4.044,102.0,33.0,69.0,1
4.064,17.0,20.0,-3.0,1
4.084,17.0,20.0,-3.0,1
4.104,52.0,20.0,32.0,1
4.124,216.0,20.0,196.0,1
4.144,42.0,20.0,22.0,1
4.164,217.0,20.0,197.0,1
4.185,54.0,21.0,33.0,1
4.205,18.0,21.0,-3.0,1
4.225,69.0,20.0,49.0,1
4.245,16.0,20.0,-4.0,1
4.265,282.0,20.0,262.0,1
4.285,41.0,20.0,21.0,1
4.305,168.0,20.0,148.0,1
4.325,19.0,20.0,-1.0,1
4.345,69.0,25.0,44.0,1
4.365,69.0,20.0,49.0,1
4.385,27.0,19.0,8.0,1
4.405,42.0,20.0,22.0,1
4.426,32.0,20.0,12.0,1
4.446,17.0,20.0,-3.0,1
4.466,69.0,20.0,49.0,1
4.486,208.0,21.0,187.0,1
4.506,100.0,21.0,79.0,1
4.526,200.0,20.0,180.0,1
4.546,26.0,20.0,6.0,1
4.566,19.0,20.0,-1.0,1
4.586,51.0,20.0,31.0,1
4.606,17.0,20.0,-3.0,1
4.627,17.0,20.0,-3.0,1
4.647,42.0,19.0,23.0,1
4.667,101.0,28.0,73.0,1
4.687,68.0,31.0,37.0,1
4.707,68.0,20.0,48.0,1
4.727,41.0,20.0,21.0,1
4.747,25.0,20.0,5.0,1
4.767,52.0,19.0,33.0,1
4.787,16.0,19.0,-3.0,1
4.808,235.0,21.0,214.0,1
4.828,70.0,20.0,50.0,1
4.848,77.0,20.0,57.0,1
4.868,69.0,20.0,49.0,1
4.888,42.0,20.0,22.0,1
4.908,17.0,20.0,-3.0,1
4.928,56.0,20.0,36.0,1
4.948,50.0,21.0,29.0,1
4.968,17.0,20.0,-3.0,1
4.988,17.0,30.0,-13.0,1
5.009,42.0,30.0,12.0,1
5.029,217.0,33.0,184.0,1
5.049,67.0,20.0,47.0,1
5.069,52.0,20.0,32.0,1
5.089,101.0,20.0,81.0,1
5.109,19.0,20.0,-1.0,1
5.129,25.0,20.0,5.0,1
5.149,17.0,20.0,-3.0,1
5.169,16.0,19.0,-3.0,1
5.19,68.0,21.0,47.0,1
5.21,297.0,20.0,277.0,1
5.23,41.0,19.0,22.0,1
5.25,18.0,20.0,-2.0,1
5.27,52.0,20.0,32.0,1
5.29,18.0,20.0,-2.0,1
5.31,68.0,21.0,47.0,1
5.33,33.0,20.0,13.0,1
5.35,41.0,21.0,20.0,1
5.371,25.0,20.0,5.0,1
5.391,42.0,20.0,22.0,1
5.411,67.0,20.0,47.0,1
5.431,118.0,19.0,99.0,1
5.451,42.0,21.0,21.0,1
5.471,41.0,20.0,21.0,1
5.491,19.0,21.0,-2.0,1
5.511,69.0,20.0,49.0,1
5.531,17.0,19.0,-2.0,1
5.551,84.0,20.0,64.0,1
5.572,234.0,20.0,214.0,1
5.592,52.0,20.0,32.0,1
5.612,16.0,20.0,-4.0,1
5.632,68.0,20.0,48.0,1
5.652,16.0,20.0,-4.0,1
5.672,83.0,20.0,63.0,1
5.692,43.0,21.0,22.0,1
5.712,330.0,19.0,311.0,1
5.732,77.0,20.0,57.0,1
5.753,68.0,28.0,40.0,1
5.773,69.0,30.0,39.0,1
5.793,16.0,21.0,-5.0,1
5.813,33.0,20.0,13.0,1
5.833,54.0,21.0,33.0,1
5.853,33.0,17.0,16.0,1
5.873,52.0,20.0,32.0,1
5.893,16.0,20.0,-4.0,1
5.913,68.0,20.0,48.0,1
5.933,150.0,20.0,130.0,1
5.954,26.0,20.0,6.0,1
5.974,52.0,20.0,32.0,1
5.994,62.0,21.0,41.0,1
6.014,17.0,21.0,-4.0,1
6.034,83.0,20.0,63.0,1
6.054,53.0,20.0,33.0,1
6.074,85.0,20.0,65.0,1
6.094,70.0,33.0,37.0,1
6.114,265.0,20.0,245.0,1
6.135,118.0,20.0,98.0,1
6.155,17.0,20.0,-3.0,1
6.175,41.0,20.0,21.0,1
6.195,17.0,20.0,-3.0,1
6.215,53.0,21.0,32.0,1
6.235,53.0,20.0,33.0,1
6.255,133.0,20.0,113.0,1
6.275,84.0,20.0,64.0,1
6.295,33.0,20.0,13.0,1
6.315,69.0,20.0,49.0,1
6.336,41.0,22.0,19.0,1
6.356,60.0,20.0,40.0,1
6.376,100.0,20.0,80.0,1
6.396,17.0,21.0,-4.0,1
6.416,19.0,33.0,-14.0,1
6.436,233.0,29.0,204.0,1
6.456,60.0,33.0,27.0,1
6.476,183.0,20.0,163.0,1
6.496,42.0,20.0,22.0,1
6.517,17.0,20.0,-3.0,1
6.537,33.0,20.0,13.0,1
6.557,19.0,20.0,-1.0,1
6.577,17.0,20.0,-3.0,1
6.597,102.0,20.0,82.0,1
6.617,158.0,20.0,138.0,1
6.637,42.0,20.0,22.0,1
6.657,134.0,20.0,114.0,1
6.677,53.0,20.0,33.0,1
6.697,16.0,20.0,-4.0,1
6.718,93.0,20.0,73.0,1
6.738,17.0,22.0,-5.0,1
6.758,117.0,20.0,97.0,1
6.778,68.0,24.0,44.0,1
6.798,41.0,20.0,21.0,1
6.818,70.0,20.0,50.0,1
6.838,67.0,17.0,50.0,1
6.858,32.0,20.0,12.0,1
6.878,33.0,20.0,13.0,1
6.899,52.0,21.0,31.0,1
6.919,18.0,20.0,-2.0,1
6.939,17.0,19.0,-2.0,1
6.959,68.0,20.0,48.0,1
6.979,291.0,20.0,271.0,1
6.999,51.0,19.0,32.0,1
7.019,149.0,20.0,129.0,1
7.039,52.0,19.0,33.0,1
7.059,18.0,20.0,-2.0,1
7.079,101.0,20.0,81.0,1
7.1,17.0,20.0,-3.0,1
7.12,17.0,20.0,-3.0,1
7.14,68.0,20.0,48.0,1
7.16,265.0,20.0,245.0,1
7.18,84.0,30.0,54.0,1
7.2,52.0,20.0,32.0,1
7.22,33.0,20.0,13.0,1
7.24,25.0,20.0,5.0,1
7.26,52.0,20.0,32.0,1
7.281,100.0,20.0,80.0,1
7.301,117.0,20.0,97.0,1
7.321,41.0,20.0,21.0,1
7.341,69.0,21.0,48.0,1
7.361,18.0,20.0,-2.0,1
7.381,52.0,21.0,31.0,1
7.401,42.0,21.0,21.0,1
7.421,116.0,20.0,96.0,1
7.441,50.0,21.0,29.0,1
7.461,17.0,21.0,-4.0,1
7.482,17.0,20.0,-3.0,1
7.502,68.0,19.0,49.0,1
7.522,84.0,23.0,61.0,1
7.542,100.0,33.0,67.0,1
7.562,42.0,20.0,22.0,1
7.582,26.0,21.0,5.0,1
7.602,18.0,20.0,-2.0,1
7.622,51.0,20.0,31.0,1
7.642,17.0,20.0,-3.0,1
7.663,134.0,20.0,114.0,1
7.683,40.0,20.0,20.0,1
7.703,99.0,20.0,79.0,1
7.723,83.0,21.0,62.0,1
7.743,51.0,21.0,30.0,1
7.763,100.0,21.0,79.0,1
7.783,41.0,20.0,21.0,1
7.803,40.0,20.0,20.0,1
7.824,52.0,19.0,33.0,1
7.844,17.0,19.0,-2.0,1
7.864,50.0,20.0,30.0,1
7.884,166.0,20.0,146.0,1
7.904,40.0,20.0,20.0,1
7.924,41.0,20.0,21.0,1
7.944,84.0,33.0,51.0,1
7.964,33.0,28.0,5.0,1
7.984,52.0,20.0,32.0,1
8.004,53.0,20.0,33.0,1
8.025,17.0,21.0,-4.0,1
8.045,33.0,20.0,13.0,1
8.065,183.0,20.0,163.0,1
