t,angle,direction,speed,duration,measured,result
5020.369,180.0,left,600,1.0,ignore,retry
5043.349,180.0,left,600,1.2,ignore,retry
5067.77,180.0,left,550,1.2,ignore,retry
5096.172,180.0,left,570,1.2,560 1.2,retry
5134.65,180.0,left,560,1.2,,fixed
5166.398,180.0,right,560,1.2,560 1.3,retry
5187.473,180.0,right,560,1.3,ignore,retry
5206.853,180.0,right,565,1.2,ignore,retry
5243.845,180.0,right,570,1.2,560 1.2,retry
5251.791,180.0,right,560,1.2,,fixed
