t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,diff,state,reason,left_cmd,right_cmd,healthy
0.001,520.0,787.0,357.0,997.0,-0.3973,-0.024,-0.2813,-0.3048,0,0,0,0,0,0,1,1,1,134.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.021,520.0,787.0,357.0,997.0,-0.3973,-0.024,-0.2813,-0.3048,0,0,0,0,0,0,1,1,1,134.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,522.0,792.0,361.0,1002.0,-0.3973,-0.024,-0.2813,-0.3048,1,0,0,0,0,0,1,1,1,31.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,522.0,791.0,359.0,1000.0,-0.3918,-0.0153,-0.2758,-0.2985,1,0,0,0,0,0,1,1,1,38.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,522.0,791.0,358.0,1001.0,-0.3918,-0.0153,-0.2758,-0.2965,1,1,0,0,0,0,1,1,1,-4.0,TURN_RIGHT_90,右侧红外亮，右转 90 度,500,-500,1
0.101,520.0,789.0,357.0,997.0,-0.3918,-0.0153,-0.2786,-0.2985,1,0,0,0,0,0,1,1,1,-18.0,TURN_RIGHT_90,右侧红外亮，右转 90 度,500,-500,1
0.122,520.0,789.0,357.0,998.0,-0.3973,-0.0196,-0.2813,-0.3027,1,0,0,0,0,0,1,1,1,-4.0,TURN_RIGHT_90,右侧红外亮，右转 90 度,500,-500,1
0.142,521.0,789.0,358.0,999.0,-0.3973,-0.0196,-0.2813,-0.3027,1,0,0,0,0,0,1,1,1,95.0,TURN_RIGHT_90,右侧红外亮，右转 90 度,500,-500,1
0.162,520.0,789.0,357.0,998.0,-0.3973,-0.0196,-0.2813,-0.3027,1,0,0,0,0,0,1,1,1,79.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.182,522.0,792.0,359.0,1001.0,-0.3946,-0.0196,-0.2786,-0.3006,1,0,0,0,0,0,1,1,1,78.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.202,521.0,789.0,358.0,999.0,-0.3946,-0.0196,-0.2786,-0.3006,1,0,0,0,0,0,1,1,1,-18.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.222,521.0,789.0,358.0,998.0,-0.3946,-0.0196,-0.2786,-0.3006,1,0,0,0,0,0,1,1,1,-4.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.242,522.0,790.0,359.0,1000.0,-0.3946,-0.0196,-0.2786,-0.3006,1,0,0,0,0,0,1,1,1,79.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.262,522.0,793.0,360.0,1001.0,-0.3918,-0.0174,-0.2758,-0.2985,1,0,0,0,0,0,1,1,1,161.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.282,521.0,790.0,360.0,1000.0,-0.3918,-0.0174,-0.273,-0.2985,1,0,0,0,0,0,1,1,1,62.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.303,519.0,788.0,356.0,996.0,-0.3946,-0.0174,-0.273,-0.2985,1,0,0,0,0,0,1,1,1,-5.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.323,522.0,792.0,360.0,1002.0,-0.3946,-0.0174,-0.273,-0.2985,1,0,0,0,0,0,1,1,1,-3.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.343,523.0,792.0,360.0,1003.0,-0.3918,-0.0131,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,4.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.363,521.0,790.0,359.0,1000.0,-0.3918,-0.0131,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,62.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.383,522.0,792.0,360.0,1002.0,-0.3918,-0.0131,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,20.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.403,521.0,791.0,358.0,1000.0,-0.3946,-0.0153,-0.2758,-0.2985,1,0,0,0,0,0,1,1,1,-3.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.423,522.0,793.0,360.0,1002.0,-0.3918,-0.0131,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,-3.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.443,524.0,793.0,360.0,1003.0,-0.3918,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,47.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.463,522.0,793.0,360.0,1002.0,-0.3918,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,97.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.483,522.0,791.0,359.0,1000.0,-0.3918,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,24.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.504,523.0,794.0,360.0,1003.0,-0.3918,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,95.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.524,524.0,794.0,360.0,1004.0,-0.3891,-0.0087,-0.273,-0.2923,1,0,0,0,0,0,1,1,1,-2.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.544,522.0,792.0,358.0,1000.0,-0.3891,-0.0087,-0.273,-0.2923,1,0,0,0,0,0,1,1,1,-5.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.564,522.0,792.0,358.0,1000.0,-0.3918,-0.0131,-0.2786,-0.2985,1,0,0,0,0,0,1,1,1,-5.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.584,524.0,793.0,360.0,1003.0,-0.3918,-0.0131,-0.2786,-0.2985,1,0,0,0,0,0,1,1,1,47.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.604,523.0,792.0,359.0,1001.0,-0.3891,-0.0131,-0.2758,-0.2965,1,0,0,0,0,0,1,1,1,183.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.624,522.0,792.0,359.0,1001.0,-0.3891,-0.0131,-0.2758,-0.2965,1,0,0,0,0,0,1,1,1,-4.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.644,523.0,793.0,360.0,1002.0,-0.3891,-0.0131,-0.2758,-0.2965,1,0,0,0,0,0,1,1,1,-5.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.664,523.0,793.0,360.0,1003.0,-0.3891,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,-4.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.685,522.0,790.0,357.0,999.0,-0.3891,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,67.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
0.705,523.0,793.0,360.0,1002.0,-0.3891,-0.0109,-0.273,-0.2944,1,0,0,0,0,0,1,1,1,62.0,SAFE_STOP,连转 3 轮未见前头红外,0,0,1
