t,left,right,diff,valid
3.054,1336.0,1347.0,-11.0,1
3.074,1351.0,1346.0,5.0,1
3.094,1336.0,1362.0,-26.0,1
3.114,1352.0,1347.0,5.0,1
3.134,1352.0,1362.0,-10.0,1
3.154,1349.0,1362.0,-13.0,1
3.175,1335.0,1348.0,-13.0,1
3.195,1336.0,1363.0,-27.0,1
3.215,1337.0,1364.0,-27.0,1
3.235,1337.0,1362.0,-25.0,1
3.255,1333.0,1363.0,-30.0,1
3.275,1334.0,1362.0,-28.0,1
3.295,1337.0,1361.0,-24.0,1
3.315,1337.0,1346.0,-9.0,1
3.335,1352.0,1362.0,-10.0,1
3.355,1347.0,1363.0,-16.0,1
3.376,1334.0,1347.0,-13.0,1
3.396,1352.0,1361.0,-9.0,1
3.416,1352.0,1362.0,-10.0,1
3.436,1335.0,1347.0,-12.0,1
3.456,1336.0,1362.0,-26.0,1
3.476,1336.0,1362.0,-26.0,1
3.496,1337.0,1361.0,-24.0,1
3.516,1352.0,1362.0,-10.0,1
3.536,1335.0,1363.0,-28.0,1
3.556,1336.0,1367.0,-31.0,1
3.576,1352.0,1347.0,5.0,1
3.597,1337.0,1362.0,-25.0,1
3.617,1336.0,1362.0,-26.0,1
3.637,1334.0,1345.0,-11.0,1
3.657,1350.0,1346.0,4.0,1
3.677,1336.0,1363.0,-27.0,1
3.697,1337.0,1332.0,5.0,1
3.717,1351.0,1361.0,-10.0,1
3.737,1362.0,1362.0,0.0,1
3.757,1350.0,1362.0,-12.0,1
3.777,1352.0,1363.0,-11.0,1
3.798,1351.0,1363.0,-12.0,1
3.818,1350.0,1361.0,-11.0,1
3.838,1336.0,1347.0,-11.0,1
3.858,1336.0,1362.0,-26.0,1
3.878,1352.0,1362.0,-10.0,1
3.898,1352.0,1360.0,-8.0,1
3.918,1335.0,1363.0,-28.0,1
3.938,1332.0,1362.0,-30.0,1
3.959,1351.0,1361.0,-10.0,1
3.979,1352.0,1360.0,-8.0,1
3.999,1348.0,1360.0,-12.0,1
4.019,1350.0,1363.0,-13.0,1
4.039,1350.0,1362.0,-12.0,1
4.059,1351.0,1362.0,-11.0,1
4.079,1336.0,1362.0,-26.0,1
4.099,1333.0,1363.0,-30.0,1
4.119,1334.0,1363.0,-29.0,1
4.14,1350.0,1365.0,-15.0,1
4.16,1352.0,1362.0,-10.0,1
4.18,1337.0,1363.0,-26.0,1
4.2,1336.0,1362.0,-26.0,1
4.22,1333.0,1361.0,-28.0,1
4.24,1351.0,1361.0,-10.0,1
4.26,1337.0,1362.0,-25.0,1
4.281,1336.0,1363.0,-27.0,1
