t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,538.0,729.0,373.0,1049.0,-1.0803,-0.9444,-0.7563,-1.2912,0,0,0,0,1,1,0,0,1,17.0,23.0,23.0,-6.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,538.0,729.0,374.0,1050.0,-0.3483,-0.1503,-0.2368,-0.1962,1,0,0,0,1,1,0,0,1,17.0,23.0,23.0,-6.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,539.0,729.0,373.0,1050.0,-0.3483,-0.1503,-0.2368,-0.1942,1,0,0,0,1,1,0,0,1,21.0,22.0,22.0,-1.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,537.0,727.0,373.0,1049.0,-0.3483,-0.1503,-0.2368,-0.1942,1,1,0,0,1,1,0,0,1,16.0,24.0,24.0,-8.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.102,537.0,727.0,372.0,1048.0,-0.351,-0.1547,-0.2368,-0.1962,1,0,0,0,1,1,0,0,1,18.0,24.0,24.0,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.122,536.0,727.0,372.0,1048.0,-0.351,-0.1547,-0.2396,-0.1983,1,0,0,0,1,1,0,0,1,17.0,22.0,22.0,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.142,538.0,730.0,374.0,1052.0,-0.351,-0.1547,-0.2396,-0.1983,1,0,0,0,1,1,0,0,1,118.0,21.0,118.0,97.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.162,539.0,730.0,375.0,1052.0,-0.3483,-0.1481,-0.234,-0.19,1,0,0,0,1,1,0,0,1,26.0,22.0,26.0,4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.182,538.0,727.0,373.0,1050.0,-0.3483,-0.1481,-0.234,-0.19,1,0,0,0,1,1,0,0,1,20.0,23.0,23.0,-3.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.202,538.0,728.0,373.0,1050.0,-0.3483,-0.1525,-0.2368,-0.1942,1,0,0,0,1,1,0,0,1,16.0,23.0,23.0,-7.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.222,538.0,729.0,374.0,1051.0,-0.3483,-0.1525,-0.2368,-0.1942,1,0,0,0,1,1,0,0,1,17.0,22.0,22.0,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.242,539.0,730.0,374.0,1052.0,-0.3483,-0.1503,-0.234,-0.1921,1,0,0,0,1,1,0,0,1,16.0,20.0,20.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.263,538.0,729.0,374.0,1051.0,-0.3483,-0.1503,-0.234,-0.1921,1,0,0,0,1,1,0,0,1,16.0,23.0,23.0,-7.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.283,536.0,729.0,372.0,1051.0,-0.3483,-0.1503,-0.234,-0.1921,1,0,0,0,1,1,0,0,1,25.0,23.0,25.0,2.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.303,536.0,734.0,373.0,1047.0,-0.3537,-0.1503,-0.2368,-0.1921,1,0,0,0,1,1,0,0,1,17.0,21.0,21.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.323,531.0,734.0,370.0,1040.0,-0.3537,-0.1394,-0.2396,-0.2004,1,0,0,0,1,1,0,0,1,16.0,22.0,22.0,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.343,532.0,733.0,370.0,1040.0,-0.3646,-0.1394,-0.2451,-0.215,1,0,0,0,1,1,0,0,1,16.0,22.0,22.0,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.363,530.0,733.0,369.0,1038.0,-0.3673,-0.1416,-0.2451,-0.215,1,0,0,0,1,1,0,0,1,16.0,23.0,23.0,-7.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.383,531.0,734.0,370.0,1041.0,-0.3673,-0.1416,-0.2451,-0.215,1,0,0,0,1,1,0,0,1,16.0,21.0,21.0,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.403,528.0,731.0,367.0,1040.0,-0.3701,-0.1416,-0.2479,-0.215,1,0,0,0,1,1,0,0,1,16.0,20.0,20.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.423,526.0,730.0,364.0,1042.0,-0.3755,-0.146,-0.2535,-0.2129,1,0,0,0,1,1,0,0,1,17.0,21.0,21.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.444,524.0,726.0,361.0,1040.0,-0.381,-0.1481,-0.2618,-0.215,1,0,0,0,1,1,0,0,1,17.0,35.0,35.0,-18.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.464,524.0,725.0,360.0,1045.0,-0.3864,-0.1569,-0.2702,-0.2109,1,0,0,0,1,1,0,0,1,16.0,20.0,20.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.484,523.0,726.0,356.0,1048.0,-0.3864,-0.1569,-0.273,-0.2046,1,0,0,0,1,1,0,0,1,16.0,21.0,21.0,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.504,522.0,730.0,353.0,1052.0,-0.3891,-0.1569,-0.2841,-0.1983,1,0,0,0,1,1,0,0,1,17.0,21.0,21.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.524,521.0,730.0,351.0,1050.0,-0.3918,-0.1481,-0.2925,-0.1942,1,0,0,0,1,1,0,0,1,53.0,35.0,53.0,18.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.544,521.0,737.0,354.0,1054.0,-0.3946,-0.1481,-0.2925,-0.19,1,0,0,0,1,1,0,0,1,84.0,20.0,84.0,64.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.564,519.0,740.0,354.0,1060.0,-0.3946,-0.1329,-0.2897,-0.1858,1,0,0,0,1,1,0,0,1,85.0,22.0,85.0,63.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.584,518.0,741.0,357.0,1062.0,-0.4,-0.1264,-0.2897,-0.1733,1,0,0,0,1,1,0,0,1,117.0,21.0,117.0,96.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.604,518.0,741.0,357.0,1062.0,-0.4027,-0.1242,-0.2813,-0.1691,1,0,0,0,1,1,0,0,1,117.0,21.0,117.0,96.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.624,520.0,744.0,359.0,1063.0,-0.4027,-0.1242,-0.2813,-0.1691,1,0,0,0,1,1,0,0,1,200.0,21.0,200.0,179.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.645,523.0,746.0,361.0,1059.0,-0.3973,-0.1176,-0.2758,-0.1691,1,0,0,0,1,1,0,0,1,265.0,21.0,265.0,244.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.665,527.0,751.0,365.0,1060.0,-0.3891,-0.1133,-0.2702,-0.1733,1,0,0,0,1,1,0,0,1,288.0,21.0,288.0,267.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.685,532.0,754.0,366.0,1059.0,-0.3782,-0.1024,-0.2591,-0.1754,1,0,0,0,1,1,0,0,1,395.0,21.0,395.0,374.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.705,537.0,752.0,369.0,1059.0,-0.3646,-0.1002,-0.2563,-0.1754,1,0,1,0,1,1,0,0,1,510.0,21.0,510.0,489.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.725,539.0,750.0,367.0,1058.0,-0.351,-0.1002,-0.2535,-0.1754,1,0,1,0,1,1,0,0,1,548.0,20.0,548.0,528.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.745,544.0,743.0,365.0,1056.0,-0.3456,-0.1046,-0.2535,-0.1775,1,0,1,0,1,1,0,0,1,574.0,21.0,574.0,553.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.766,545.0,742.0,362.0,1053.0,-0.332,-0.1198,-0.2591,-0.1816,1,0,1,0,1,1,0,0,1,609.0,20.0,609.0,589.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.786,548.0,743.0,359.0,1055.0,-0.3293,-0.1198,-0.2674,-0.1837,1,0,1,0,1,1,0,0,1,656.0,21.0,656.0,635.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.806,548.0,740.0,359.0,1048.0,-0.3211,-0.122,-0.2758,-0.1879,1,0,1,0,1,1,0,0,1,721.0,21.0,721.0,700.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.826,549.0,747.0,368.0,1045.0,-0.3211,-0.1198,-0.2758,-0.1983,1,0,1,0,1,1,0,0,1,807.0,21.0,807.0,786.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.846,547.0,756.0,374.0,1040.0,-0.3211,-0.1111,-0.2507,-0.2046,1,0,1,0,1,1,0,0,1,704.0,21.0,704.0,683.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.866,548.0,1023.0,369.0,1038.0,-0.3211,-0.0915,-0.2479,-0.215,1,0,1,0,1,1,0,0,1,767.0,21.0,767.0,746.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.886,542.0,774.0,365.0,1034.0,-0.3238,-0.0523,-0.2479,-0.2192,1,0,1,0,1,1,0,0,1,754.0,23.0,754.0,731.0,ADC_CORRECT,定时转向完成，停车后进入 ADC 评估,0,0,1
0.906,540.0,784.0,374.0,1036.0,-0.3374,-0.0305,-0.2479,-0.2234,1,0,1,0,1,0,0,0,1,822.0,20.0,822.0,802.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.927,537.0,788.0,387.0,1036.0,-0.3429,-0.0305,-0.234,-0.2234,1,0,1,0,1,0,0,0,1,838.0,21.0,838.0,817.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.947,533.0,787.0,384.0,1035.0,-0.351,-0.024,-0.2061,-0.2234,1,0,1,0,1,0,0,0,1,854.0,22.0,854.0,832.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.967,533.0,785.0,379.0,1039.0,-0.3619,-0.024,-0.2061,-0.2234,1,0,1,0,1,0,0,0,1,871.0,26.0,871.0,845.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.987,531.0,781.0,374.0,1040.0,-0.3619,-0.0283,-0.2201,-0.2171,1,0,1,0,1,0,0,0,1,870.0,21.0,870.0,849.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.007,531.0,781.0,374.0,1040.0,-0.3673,-0.037,-0.234,-0.215,1,0,1,0,1,0,0,0,1,870.0,21.0,870.0,849.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.027,529.0,776.0,373.0,1040.0,-0.3673,-0.037,-0.234,-0.215,1,0,1,0,1,0,0,0,1,854.0,21.0,854.0,833.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.047,531.0,780.0,372.0,1042.0,-0.3673,-0.0392,-0.2368,-0.215,1,0,1,0,1,0,0,0,1,853.0,21.0,853.0,832.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
1.067,532.0,780.0,372.0,1043.0,-0.3673,-0.0392,-0.2396,-0.2109,1,0,1,0,1,0,0,0,1,886.0,27.0,886.0,859.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=833,-400,400,1
1.087,533.0,779.0,372.0,1044.0,-0.3646,-0.0392,-0.2396,-0.2088,1,0,1,0,1,0,0,0,1,884.0,21.0,884.0,863.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=849,-400,400,1
1.108,533.0,781.0,372.0,1046.0,-0.3619,-0.0392,-0.2396,-0.2067,1,0,1,0,1,0,0,0,1,852.0,21.0,852.0,831.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=849,-400,400,1
1.128,533.0,779.0,371.0,1045.0,-0.3619,-0.0414,-0.2396,-0.2046,1,0,1,0,1,0,0,0,1,853.0,20.0,853.0,833.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=849,-400,400,1
1.148,533.0,778.0,370.0,1044.0,-0.3619,-0.0414,-0.2423,-0.2046,1,0,1,0,1,0,0,0,1,864.0,177.0,864.0,687.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=843,-400,400,1
1.169,533.0,780.0,371.0,1046.0,-0.3619,-0.0414,-0.2423,-0.2046,1,0,1,0,1,0,0,0,1,884.0,21.0,884.0,863.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=843,-400,400,1
1.19,532.0,778.0,370.0,1045.0,-0.3619,-0.0436,-0.2451,-0.2046,1,0,1,0,1,0,0,0,1,886.0,22.0,886.0,864.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=843,-400,400,1
1.21,531.0,778.0,368.0,1042.0,-0.3646,-0.0436,-0.2451,-0.2046,1,0,1,0,1,0,0,0,1,886.0,24.0,886.0,862.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=863,-400,400,1
1.23,530.0,780.0,367.0,1046.0,-0.3673,-0.0436,-0.2507,-0.2046,1,0,1,0,1,0,0,0,1,869.0,20.0,869.0,849.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=863,-400,400,1
1.25,531.0,779.0,368.0,1047.0,-0.3673,-0.0414,-0.2507,-0.2025,1,0,1,0,1,0,0,0,1,853.0,22.0,853.0,831.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=848,-400,400,1
1.27,529.0,775.0,365.0,1043.0,-0.3701,-0.0414,-0.2535,-0.2025,1,0,1,0,1,0,0,0,1,872.0,22.0,872.0,850.0,ADC_CORRECT,ADC 右偏，向左矫正，diff=847,-400,400,1
