t,sequence,vision_timestamp_ms,received_age_ms,valid,reason,frame_width,frame_height,action,target_type,confidence,center_x,center_y,offset_x,offset_y,distance_cm,dt,error_x_normalized,filtered_error,turn_command,state,left_cmd,right_cmd,motor_enabled
0.014447,,,,0,no_data_or_stale,,,search,,,,,,,,,,,0,VISION_STOP,0,0,1
1.724433,1,1786521030588,11.251,1,ok,640,480,push,good,0.864556,344,358,0.075,0.491667,,1.709986,0.000234,0.000234,0,ALIGNED,0,0,1
1.906007,2,1786521030768,13.667,1,ok,640,480,push,good,0.873102,344,358,0.075,0.491667,,0.181574,0.000234,0.000234,0,ALIGNED,0,0,1
2.087485,3,1786521030945,17.498,1,ok,640,480,push,good,0.864849,344,358,0.075,0.491667,,0.181478,0.000234,0.000234,0,ALIGNED,0,0,1
2.249969,4,1786521031118,7.458,1,ok,640,480,push,good,0.897628,344,358,0.075,0.491667,,0.162484,0.000234,0.000234,0,ALIGNED,0,0,1
2.432255,5,1786521031292,15.446,1,ok,640,480,push,good,0.906747,343,358,0.071875,0.491667,,0.182285,0.000225,0.00023,0,ALIGNED,0,0,1
2.614511,6,1786521031474,15.852,1,ok,640,480,push,good,0.904035,344,358,0.075,0.491667,,0.182256,0.000234,0.000232,0,ALIGNED,0,0,1
2.776325,7,1786521031645,6.272,1,ok,640,480,push,good,0.907204,344,358,0.075,0.491667,,0.161814,0.000234,0.000233,0,ALIGNED,0,0,1
2.959381,8,1786521031817,17.622,1,ok,640,480,push,good,0.908895,343,358,0.071875,0.491667,,0.183056,0.000225,0.000229,0,ALIGNED,0,0,1
3.12062,9,1786521031989,7.289,1,ok,640,480,push,good,0.909357,343,358,0.071875,0.491667,,0.161239,0.000225,0.000227,0,ALIGNED,0,0,1
3.302855,10,1786521032161,17.392,1,ok,640,480,push,good,0.898762,344,358,0.075,0.491667,,0.182235,0.000234,0.00023,0,ALIGNED,0,0,1
3.535338,11,1786521032394,16.259,1,ok,640,480,push,good,0.906971,343,358,0.071875,0.491667,,0.232483,0.000225,0.000228,0,ALIGNED,0,0,1
3.738355,12,1786521032609,4.842,1,ok,640,480,push,good,0.910331,343,358,0.071875,0.491667,,0.203017,0.000225,0.000226,0,ALIGNED,0,0,1
3.961234,13,1786521032822,14.717,1,ok,640,480,push,good,0.898416,344,358,0.075,0.491667,,0.222879,0.000234,0.00023,0,ALIGNED,0,0,1
4.183249,14,1786521033044,14.16,1,ok,640,480,push,good,0.90202,343,358,0.071875,0.491667,,0.222015,0.000225,0.000228,0,ALIGNED,0,0,1
4.405222,15,1786521033261,19.44,1,ok,640,480,push,good,0.907804,343,358,0.071875,0.491667,,0.221973,0.000225,0.000226,0,ALIGNED,0,0,1
4.607063,16,1786521033474,8.55,1,ok,640,480,push,good,0.906447,343,358,0.071875,0.491667,,0.201841,0.000225,0.000226,0,ALIGNED,0,0,1
4.829179,17,1786521033695,9.43,1,ok,640,480,push,good,0.912882,343,358,0.071875,0.491667,,0.222116,0.000225,0.000225,0,ALIGNED,0,0,1
5.031239,18,1786521033904,2.807,1,ok,640,480,push,good,0.901527,343,358,0.071875,0.491667,,0.20206,0.000225,0.000225,0,ALIGNED,0,0,1
5.494289,,,,0,no_data_or_stale,,,search,,,,,,,,0.46305,,,0,VISION_STOP,0,0,1
5.715804,19,1786521034587,3.852,1,ok,640,480,push,good,0.904439,344,358,0.075,0.491667,,0.221515,0.000234,0.000234,0,ALIGNED,0,0,1
5.940778,20,1786521034801,15.29,1,ok,640,480,push,good,0.910129,343,358,0.071875,0.491667,,0.224974,0.000225,0.00023,0,ALIGNED,0,0,1
6.145302,21,1786521035018,1.978,1,ok,640,480,push,good,0.903499,344,358,0.075,0.491667,,0.204524,0.000234,0.000232,0,ALIGNED,0,0,1
6.367957,22,1786521035229,13.899,1,ok,640,480,push,good,0.902518,343,358,0.071875,0.491667,,0.222655,0.000225,0.000229,0,ALIGNED,0,0,1
6.569584,23,1786521035429,15.308,1,ok,640,480,push,good,0.906109,344,358,0.075,0.491667,,0.201627,0.000234,0.000231,0,ALIGNED,0,0,1
6.754175,24,1786521035629,0.057,1,ok,640,480,push,good,0.909446,343,358,0.071875,0.491667,,0.184591,0.000225,0.000228,0,ALIGNED,0,0,1
6.975643,25,1786521035840,11.252,1,ok,640,480,push,good,0.902465,343,358,0.071875,0.491667,,0.221468,0.000225,0.000227,0,ALIGNED,0,0,1
