t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.001,0.0,0.0,0.0,0.0,-1.5294,-1.254,-1.8131,-2.2651,-1.6713,,SENSOR_STOP,传感器无效或数据过期,,-0.2754,0.452,1,stop,0.0,,0.0,0,0,0
0.021,703.0,1034.0,1078.0,918.0,-0.4412,-0.2282,-0.5049,-0.7248,-0.473,,WARMUP,等待滤波窗口,,-0.213,0.22,1,stop,0.0,,0.0,0,0,1
0.041,704.0,1036.0,1079.0,915.0,0.6471,0.7976,0.8034,0.8054,0.8005,,MEDIUM_CRUISE,按区域分级巡航,,-0.1506,-0.002,0,medium,0.0,,0.0,400,400,1
0.061,704.0,1037.0,1080.0,921.0,0.6502,0.8016,0.8058,0.8154,0.8037,,MEDIUM_CRUISE,按区域分级巡航,,-0.1514,-0.0096,0,medium,0.0,,0.0,400,400,1
0.081,705.0,1038.0,1081.0,922.0,0.6502,0.8036,0.8083,0.8255,0.8059,,MEDIUM_CRUISE,按区域分级巡航,,-0.1534,-0.0173,0,medium,0.0,,0.0,400,400,1
0.101,703.0,1035.0,1078.0,920.0,0.6502,0.8036,0.8083,0.8255,0.8059,,MEDIUM_CRUISE,按区域分级巡航,,-0.1534,-0.0173,0,medium,0.0,,0.0,400,400,1
0.121,705.0,1036.0,1080.0,921.0,0.6533,0.8016,0.8083,0.8255,0.8049,,MEDIUM_CRUISE,按区域分级巡航,,-0.1483,-0.0173,0,medium,0.0,,0.0,400,400,1
0.141,706.0,1040.0,1083.0,923.0,0.6533,0.8016,0.8083,0.8255,0.8049,,MEDIUM_CRUISE,按区域分级巡航,,-0.1483,-0.0173,0,medium,0.0,,0.0,400,400,1
0.161,707.0,1041.0,1084.0,922.0,0.6563,0.8095,0.8155,0.8289,0.8125,,MEDIUM_CRUISE,按区域分级巡航,,-0.1532,-0.0133,0,medium,0.0,,0.0,400,400,1
0.181,706.0,1040.0,1082.0,923.0,0.6563,0.8095,0.8155,0.8322,0.8125,,MEDIUM_CRUISE,按区域分级巡航,,-0.1532,-0.0167,0,medium,0.0,,0.0,400,400,1
0.202,705.0,1039.0,1082.0,923.0,0.6563,0.8095,0.8131,0.8322,0.8113,,MEDIUM_CRUISE,按区域分级巡航,,-0.1532,-0.0191,0,medium,0.0,,0.0,400,400,1
0.222,705.0,1038.0,1082.0,925.0,0.6533,0.8075,0.8131,0.8322,0.8103,,MEDIUM_CRUISE,按区域分级巡航,,-0.1543,-0.0191,0,medium,0.0,,0.0,400,400,1
0.242,707.0,1042.0,1084.0,930.0,0.6533,0.8075,0.8131,0.8389,0.8103,,MEDIUM_CRUISE,按区域分级巡航,,-0.1543,-0.0258,0,medium,0.0,,0.0,400,400,1
0.262,707.0,1045.0,1086.0,926.0,0.6594,0.8135,0.818,0.8423,0.8157,,MEDIUM_CRUISE,按区域分级巡航,,-0.154,-0.0243,0,medium,0.0,,0.0,400,400,1
0.282,704.0,1041.0,1085.0,912.0,0.6594,0.8135,0.8204,0.8423,0.8169,,MEDIUM_CRUISE,按区域分级巡航,,-0.154,-0.0219,0,medium,0.0,,0.0,400,400,1
