t,left,right,diff,valid
3.462,16.0,21.0,-5.0,1
3.482,60.0,21.0,39.0,1
3.502,16.0,20.0,-4.0,1
3.522,42.0,21.0,21.0,1
3.542,84.0,21.0,63.0,1
3.562,17.0,34.0,-17.0,1
3.582,17.0,21.0,-4.0,1
3.602,52.0,20.0,32.0,1
3.623,17.0,20.0,-3.0,1
3.643,84.0,23.0,61.0,1
3.663,16.0,20.0,-4.0,1
3.683,118.0,21.0,97.0,1
3.703,17.0,22.0,-5.0,1
3.723,100.0,20.0,80.0,1
3.743,17.0,20.0,-3.0,1
3.763,16.0,21.0,-5.0,1
3.783,17.0,22.0,-5.0,1
3.803,42.0,21.0,21.0,1
3.823,17.0,20.0,-3.0,1
3.844,51.0,21.0,30.0,1
3.864,118.0,30.0,88.0,1
3.884,133.0,20.0,113.0,1
3.904,17.0,20.0,-3.0,1
3.924,27.0,21.0,6.0,1
3.944,51.0,21.0,30.0,1
3.964,51.0,21.0,30.0,1
3.984,24.0,21.0,3.0,1
4.004,116.0,20.0,96.0,1
4.024,208.0,22.0,186.0,1
4.044,17.0,21.0,-4.0,1
4.065,16.0,20.0,-4.0,1
4.085,100.0,33.0,67.0,1
4.105,16.0,21.0,-5.0,1
4.125,17.0,21.0,-4.0,1
4.145,17.0,21.0,-4.0,1
4.165,25.0,21.0,4.0,1
4.185,17.0,22.0,-5.0,1
4.205,25.0,21.0,4.0,1
4.225,52.0,21.0,31.0,1
4.245,16.0,21.0,-5.0,1
4.265,20.0,21.0,-1.0,1
4.285,25.0,20.0,5.0,1
4.305,84.0,35.0,49.0,1
4.325,83.0,21.0,62.0,1
4.346,67.0,20.0,47.0,1
4.366,60.0,21.0,39.0,1
4.386,17.0,20.0,-3.0,1
4.406,16.0,21.0,-5.0,1
4.426,101.0,19.0,82.0,1
4.446,25.0,21.0,4.0,1
4.466,21.0,20.0,1.0,1
4.486,101.0,21.0,80.0,1
4.506,17.0,20.0,-3.0,1
4.526,33.0,32.0,1.0,1
4.546,149.0,32.0,117.0,1
4.566,33.0,20.0,13.0,1
4.587,42.0,19.0,23.0,1
4.607,17.0,20.0,-3.0,1
4.627,18.0,20.0,-2.0,1
4.647,67.0,20.0,47.0,1
4.667,33.0,21.0,12.0,1
4.687,100.0,20.0,80.0,1
4.707,157.0,20.0,137.0,1
4.727,17.0,20.0,-3.0,1
4.747,20.0,20.0,0.0,1
4.767,32.0,20.0,12.0,1
4.787,66.0,20.0,46.0,1
4.808,32.0,20.0,12.0,1
4.828,51.0,20.0,31.0,1
4.848,19.0,28.0,-9.0,1
4.868,16.0,21.0,-5.0,1
4.888,32.0,22.0,10.0,1
4.908,99.0,20.0,79.0,1
4.928,16.0,20.0,-4.0,1
4.948,16.0,20.0,-4.0,1
4.968,32.0,19.0,13.0,1
4.988,17.0,22.0,-5.0,1
5.009,26.0,20.0,6.0,1
5.029,84.0,20.0,64.0,1
5.049,17.0,20.0,-3.0,1
5.069,66.0,20.0,46.0,1
5.089,16.0,20.0,-4.0,1
5.109,68.0,20.0,48.0,1
5.129,51.0,19.0,32.0,1
5.149,100.0,20.0,80.0,1
5.169,51.0,23.0,28.0,1
5.19,18.0,33.0,-15.0,1
5.21,16.0,30.0,-14.0,1
5.23,83.0,22.0,61.0,1
5.25,67.0,20.0,47.0,1
5.27,25.0,20.0,5.0,1
5.29,68.0,19.0,49.0,1
5.31,16.0,20.0,-4.0,1
5.33,17.0,20.0,-3.0,1
5.35,20.0,21.0,-1.0,1
5.371,68.0,20.0,48.0,1
5.391,41.0,20.0,21.0,1
5.411,17.0,19.0,-2.0,1
5.431,17.0,21.0,-4.0,1
5.451,108.0,21.0,87.0,1
5.471,166.0,19.0,147.0,1
5.491,67.0,19.0,48.0,1
5.511,83.0,34.0,49.0,1
5.531,16.0,29.0,-13.0,1
5.551,17.0,20.0,-3.0,1
5.572,17.0,20.0,-3.0,1
5.592,248.0,20.0,228.0,1
5.612,41.0,20.0,21.0,1
5.632,41.0,20.0,21.0,1
5.652,17.0,20.0,-3.0,1
5.672,16.0,20.0,-4.0,1
5.692,17.0,20.0,-3.0,1
5.712,133.0,20.0,113.0,1
5.732,84.0,20.0,64.0,1
5.753,51.0,20.0,31.0,1
5.773,17.0,20.0,-3.0,1
5.793,17.0,20.0,-3.0,1
5.813,33.0,20.0,13.0,1
5.833,42.0,27.0,15.0,1
5.853,117.0,20.0,97.0,1
5.873,83.0,20.0,63.0,1
5.893,17.0,20.0,-3.0,1
5.913,26.0,20.0,6.0,1
5.933,17.0,20.0,-3.0,1
5.954,165.0,20.0,145.0,1
5.974,84.0,21.0,63.0,1
5.994,16.0,21.0,-5.0,1
6.014,17.0,20.0,-3.0,1
6.034,17.0,20.0,-3.0,1
6.054,17.0,20.0,-3.0,1
6.074,279.0,20.0,259.0,1
6.094,51.0,21.0,30.0,1
6.114,83.0,20.0,63.0,1
6.135,16.0,20.0,-4.0,1
6.155,17.0,30.0,-13.0,1
6.175,166.0,20.0,146.0,1
6.195,99.0,20.0,79.0,1
6.215,83.0,20.0,63.0,1
6.235,115.0,21.0,94.0,1
6.256,17.0,21.0,-4.0,1
6.276,16.0,31.0,-15.0,1
6.296,17.0,22.0,-5.0,1
6.316,16.0,20.0,-4.0,1
6.336,25.0,21.0,4.0,1
6.356,16.0,21.0,-5.0,1
6.376,16.0,20.0,-4.0,1
6.396,92.0,19.0,73.0,1
6.416,83.0,20.0,63.0,1
6.436,232.0,20.0,212.0,1
6.457,117.0,21.0,96.0,1
6.477,16.0,20.0,-4.0,1
6.497,24.0,31.0,-7.0,1
6.517,17.0,21.0,-4.0,1
6.537,443.0,20.0,423.0,1
6.557,84.0,20.0,64.0,1
6.577,116.0,20.0,96.0,1
6.597,31.0,20.0,11.0,1
6.617,16.0,20.0,-4.0,1
6.637,17.0,20.0,-3.0,1
6.657,313.0,20.0,293.0,1
6.677,116.0,20.0,96.0,1
6.698,141.0,20.0,121.0,1
6.718,26.0,20.0,6.0,1
6.738,16.0,24.0,-8.0,1
6.758,42.0,21.0,21.0,1
6.778,148.0,20.0,128.0,1
6.798,16.0,20.0,-4.0,1
6.818,134.0,20.0,114.0,1
6.838,24.0,20.0,4.0,1
6.858,33.0,20.0,13.0,1
6.878,458.0,20.0,438.0,1
6.898,297.0,20.0,277.0,1
6.918,17.0,20.0,-3.0,1
6.939,190.0,20.0,170.0,1
6.959,17.0,19.0,-2.0,1
6.979,42.0,19.0,23.0,1
6.999,19.0,20.0,-1.0,1
7.019,492.0,20.0,472.0,1
7.039,157.0,20.0,137.0,1
7.059,134.0,21.0,113.0,1
7.079,68.0,20.0,48.0,1
7.099,16.0,20.0,-4.0,1
7.119,41.0,20.0,21.0,1
7.14,376.0,20.0,356.0,1
7.16,149.0,20.0,129.0,1
7.18,199.0,21.0,178.0,1
7.2,109.0,21.0,88.0,1
7.22,116.0,19.0,97.0,1
7.24,100.0,20.0,80.0,1
7.26,166.0,20.0,146.0,1
7.28,17.0,20.0,-3.0,1
7.3,215.0,21.0,194.0,1
7.321,17.0,21.0,-4.0,1
7.341,443.0,20.0,423.0,1
7.361,134.0,20.0,114.0,1
7.381,476.0,30.0,446.0,1
7.401,115.0,21.0,94.0,1
7.421,17.0,20.0,-3.0,1
7.441,134.0,20.0,114.0,1
7.461,19.0,20.0,-1.0,1
7.481,149.0,21.0,128.0,1
7.501,559.0,19.0,540.0,1
7.522,426.0,21.0,405.0,1
7.542,150.0,20.0,130.0,1
7.562,99.0,20.0,79.0,1
7.582,17.0,20.0,-3.0,1
7.602,17.0,20.0,-3.0,1
7.622,133.0,21.0,112.0,1
7.642,296.0,20.0,276.0,1
7.662,198.0,20.0,178.0,1
7.682,166.0,20.0,146.0,1
7.703,183.0,20.0,163.0,1
7.723,133.0,22.0,111.0,1
7.743,313.0,20.0,293.0,1
7.763,182.0,20.0,162.0,1
7.783,17.0,20.0,-3.0,1
7.803,117.0,22.0,95.0,1
7.823,16.0,20.0,-4.0,1
7.843,149.0,20.0,129.0,1
7.863,410.0,20.0,390.0,1
7.884,702.0,20.0,682.0,1
7.904,150.0,20.0,130.0,1
7.924,410.0,20.0,390.0,1
7.944,18.0,21.0,-3.0,1
7.964,17.0,20.0,-3.0,1
7.984,149.0,20.0,129.0,1
8.004,297.0,20.0,277.0,1
8.024,182.0,20.0,162.0,1
8.044,117.0,20.0,97.0,1
8.065,166.0,20.0,146.0,1
8.085,17.0,20.0,-3.0,1
8.105,149.0,20.0,129.0,1
8.125,41.0,28.0,13.0,1
8.145,182.0,32.0,150.0,1
8.165,149.0,30.0,119.0,1
8.185,51.0,21.0,30.0,1
8.205,175.0,20.0,155.0,1
8.225,183.0,20.0,163.0,1
8.246,672.0,33.0,639.0,1
8.266,199.0,21.0,178.0,1
8.286,328.0,22.0,306.0,1
8.306,41.0,20.0,21.0,1
8.326,17.0,20.0,-3.0,1
8.346,166.0,20.0,146.0,1
8.366,25.0,21.0,4.0,1
8.386,199.0,20.0,179.0,1
8.406,151.0,20.0,131.0,1
8.427,768.0,20.0,748.0,1
8.447,117.0,20.0,97.0,1
8.467,217.0,21.0,196.0,1
8.487,96.0,31.0,65.0,1
8.507,17.0,20.0,-3.0,1
8.527,166.0,20.0,146.0,1
8.547,605.0,20.0,585.0,1
8.567,192.0,21.0,171.0,1
8.587,167.0,20.0,147.0,1
8.607,265.0,20.0,245.0,1
8.628,215.0,20.0,195.0,1
8.648,198.0,20.0,178.0,1
8.668,185.0,20.0,165.0,1
8.688,200.0,20.0,180.0,1
8.708,183.0,20.0,163.0,1
8.728,22.0,21.0,1.0,1
8.748,216.0,20.0,196.0,1
8.768,166.0,20.0,146.0,1
8.788,901.0,20.0,881.0,1
8.808,198.0,21.0,177.0,1
8.829,592.0,24.0,568.0,1
8.849,281.0,20.0,261.0,1
8.869,16.0,19.0,-3.0,1
8.889,183.0,21.0,162.0,1
8.909,17.0,19.0,-2.0,1
8.929,199.0,20.0,179.0,1
8.949,249.0,20.0,229.0,1
8.969,768.0,20.0,748.0,1
8.989,249.0,20.0,229.0,1
9.009,215.0,20.0,195.0,1
9.029,200.0,20.0,180.0,1
9.049,17.0,19.0,-2.0,1
9.07,203.0,20.0,183.0,1
9.09,133.0,20.0,113.0,1
9.11,249.0,19.0,230.0,1
9.13,167.0,22.0,145.0,1
9.15,84.0,32.0,52.0,1
9.17,201.0,20.0,181.0,1
9.19,33.0,20.0,13.0,1
9.21,853.0,20.0,833.0,1
9.23,249.0,26.0,223.0,1
9.25,394.0,21.0,373.0,1
9.271,165.0,20.0,145.0,1
9.291,16.0,20.0,-4.0,1
9.311,298.0,20.0,278.0,1
9.331,18.0,20.0,-2.0,1
9.351,264.0,20.0,244.0,1
9.371,623.0,20.0,603.0,1
9.391,900.0,20.0,880.0,1
9.411,215.0,20.0,195.0,1
