t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.5294,-1.254,-1.8131,-2.2651,-1.6713,,SENSOR_STOP,传感器无效或数据过期,,-0.2754,0.452,1,stop,0.0,,0.0,0,0,0
0.02,783.0,1210.0,1248.0,977.0,-0.3173,-0.0536,-0.2985,-0.6258,-0.3079,,WARMUP,等待滤波窗口,,-0.2638,0.3273,1,stop,0.0,,0.0,0,0,1
0.041,783.0,1211.0,1248.0,978.0,0.8947,1.1468,1.216,1.0134,1.0801,,CRUISE,按区域分级巡航,,-0.2521,0.2026,0,fast,0.0,,0.0,500,400,1
0.061,798.0,1235.0,1270.0,996.0,0.8947,1.1488,1.216,1.0168,1.0828,,CRUISE,按区域分级巡航,,-0.2541,0.1992,0,fast,0.0,,0.0,500,400,1
0.081,780.0,1206.0,1243.0,974.0,0.8947,1.1488,1.216,1.0168,1.0828,,CRUISE,按区域分级巡航,,-0.2541,0.1992,0,fast,0.0,,0.0,500,400,1
0.101,783.0,1208.0,1247.0,977.0,0.8947,1.1429,1.2136,1.0134,1.0781,,CRUISE,按区域分级巡航,,-0.2481,0.2002,0,fast,0.0,,0.0,500,400,1
0.121,781.0,1208.0,1244.0,976.0,0.8885,1.1429,1.2063,1.0101,1.0765,,CRUISE,按区域分级巡航,,-0.2543,0.1962,0,fast,0.0,,0.0,500,400,1
0.141,784.0,1211.0,1248.0,978.0,0.8947,1.1429,1.2136,1.0134,1.0781,,CRUISE,按区域分级巡航,,-0.2481,0.2002,0,fast,0.0,,0.0,500,400,1
0.161,784.0,1212.0,1249.0,978.0,0.8978,1.1488,1.216,1.0168,1.0828,,CRUISE,按区域分级巡航,,-0.251,0.1992,0,fast,0.0,,0.0,500,400,1
0.181,782.0,1210.0,1247.0,977.0,0.8978,1.1488,1.216,1.0168,1.0828,,CRUISE,按区域分级巡航,,-0.251,0.1992,0,fast,0.0,,0.0,500,400,1
0.201,781.0,1210.0,1246.0,976.0,0.8916,1.1468,1.2136,1.0134,1.0801,,CRUISE,按区域分级巡航,,-0.2552,0.2002,0,fast,0.0,,0.0,500,400,1
0.221,782.0,1212.0,1250.0,977.0,0.8916,1.1468,1.2136,1.0134,1.0801,,CRUISE,按区域分级巡航,,-0.2552,0.2002,0,fast,0.0,,0.0,500,400,1
0.241,782.0,1216.0,1252.0,976.0,0.8916,1.1508,1.2209,1.0101,1.0804,,CRUISE,按区域分级巡航,,-0.2592,0.2108,0,fast,0.0,,0.0,500,400,1
0.261,782.0,1221.0,1256.0,974.0,0.8916,1.1587,1.2257,1.0101,1.0844,,CRUISE,按区域分级巡航,,-0.2671,0.2157,0,fast,0.0,,0.0,500,400,1
0.281,783.0,1222.0,1256.0,971.0,0.8916,1.1687,1.2354,1.0034,1.086,,CRUISE,按区域分级巡航,,-0.277,0.2321,0,fast,0.0,,0.0,500,400,1
