t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.003,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,-1.7754,,SENSOR_STOP,传感器无效或数据过期,,-0.0737,1.1105,1,stop,0.0,,0.0,0,0,0
0.03,986.0,1508.0,717.0,1778.0,-0.4707,-0.0959,-0.2772,-0.5303,-0.374,,WARMUP,等待滤波窗口,,-0.3749,0.2531,1,stop,0.0,,0.0,0,0,1
0.05,986.0,1506.0,714.0,1776.0,0.8707,1.5425,0.7131,1.3215,1.0961,,CRUISE,按区域分级巡航,,-0.6717,-0.6084,0,fast,0.0,,0.0,500,400,1
0.07,985.0,1506.0,715.0,1776.0,0.8707,1.5425,0.7159,1.3215,1.0961,,CRUISE,按区域分级巡航,,-0.6717,-0.6056,0,fast,0.0,,0.0,500,400,1
0.09,986.0,1506.0,715.0,1777.0,0.8707,1.5425,0.7159,1.3215,1.0961,,CRUISE,按区域分级巡航,,-0.6717,-0.6056,0,fast,0.0,,0.0,500,400,1
0.11,986.0,1507.0,715.0,1775.0,0.8707,1.5425,0.7159,1.3215,1.0961,,CRUISE,按区域分级巡航,,-0.6717,-0.6056,0,fast,0.0,,0.0,500,400,1
0.13,986.0,1507.0,715.0,1777.0,0.8707,1.5447,0.7159,1.3236,1.0972,,CRUISE,按区域分级巡航,,-0.6739,-0.6077,0,fast,0.0,,0.0,500,400,1
0.15,986.0,1508.0,717.0,1778.0,0.8707,1.5447,0.7159,1.3236,1.0972,,CRUISE,按区域分级巡航,,-0.6739,-0.6077,0,fast,0.0,,0.0,500,400,1
0.171,986.0,1505.0,715.0,1777.0,0.8707,1.5447,0.7159,1.3236,1.0972,,CRUISE,按区域分级巡航,,-0.6739,-0.6077,0,fast,0.0,,0.0,500,400,1
0.191,988.0,1509.0,718.0,1780.0,0.8707,1.5468,0.7214,1.3257,1.0982,,CRUISE,按区域分级巡航,,-0.6761,-0.6042,0,fast,0.0,,0.0,500,400,1
0.211,990.0,1512.0,717.0,1781.0,0.8762,1.549,0.7214,1.3299,1.103,,CRUISE,按区域分级巡航,,-0.6728,-0.6084,0,fast,0.0,,0.0,500,400,1
0.231,988.0,1505.0,715.0,1777.0,0.8762,1.549,0.7214,1.3299,1.103,,CRUISE,按区域分级巡航,,-0.6728,-0.6084,0,fast,0.0,,0.0,500,400,1
0.251,985.0,1505.0,713.0,1776.0,0.8762,1.5403,0.7159,1.3236,1.0999,,CRUISE,按区域分级巡航,,-0.6641,-0.6077,0,fast,0.0,,0.0,500,400,1
0.271,984.0,1505.0,713.0,1773.0,0.868,1.5403,0.7103,1.3215,1.0948,,CRUISE,按区域分级巡航,,-0.6723,-0.6112,0,fast,0.0,,0.0,500,400,1
0.291,988.0,1501.0,715.0,1769.0,0.868,1.5403,0.7103,1.3152,1.0916,,CRUISE,按区域分级巡航,,-0.6723,-0.6049,0,fast,0.0,,0.0,500,400,1
