t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,518.0,769.0,379.0,1074.0,-1.1075,-0.9009,-0.7479,-1.2651,0,0,0,0,1,1,0,0,1,17.0,26.0,26.0,-9.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,519.0,769.0,379.0,1075.0,-0.4027,-0.0632,-0.2201,-0.1441,1,0,0,0,1,1,0,0,1,18.0,23.0,23.0,-5.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,520.0,770.0,379.0,1074.0,-0.4,-0.0632,-0.2201,-0.1441,1,0,0,0,1,1,0,0,1,17.0,21.0,21.0,-4.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,518.0,768.0,377.0,1073.0,-0.4,-0.0632,-0.2201,-0.1441,1,1,0,0,1,1,0,0,1,17.0,36.0,36.0,-19.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.101,520.0,770.0,379.0,1076.0,-0.3973,-0.061,-0.2201,-0.1441,1,0,0,0,1,1,0,0,1,17.0,20.0,20.0,-3.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.121,519.0,769.0,379.0,1076.0,-0.4,-0.0632,-0.2201,-0.1399,1,0,0,0,1,1,0,0,1,16.0,34.0,34.0,-18.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.141,519.0,769.0,379.0,1074.0,-0.4,-0.0632,-0.2201,-0.1399,1,0,0,0,1,1,0,0,1,16.0,19.0,19.0,-3.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.161,520.0,771.0,379.0,1077.0,-0.4,-0.0632,-0.2201,-0.1399,1,0,0,0,1,1,0,0,1,16.0,19.0,19.0,-3.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.181,520.0,770.0,379.0,1077.0,-0.3973,-0.061,-0.2201,-0.1378,1,0,0,0,1,1,0,0,1,17.0,30.0,30.0,-13.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
