t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
0.572,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,761.0,1017.0,1081.0,991.0,359.0,1026.0
0.592,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,757.0,1013.0,1077.0,987.0,473.0,1024.0
0.612,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1015.0,1080.0,990.0,261.0,1024.0
0.632,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1017.0,1081.0,991.0,753.0,1028.0
0.653,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,759.0,1016.0,1080.0,990.0,359.0,1026.0
0.673,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,755.0,1010.0,1074.0,985.0,510.0,1037.0
0.693,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1016.0,1081.0,991.0,358.0,1025.0
0.713,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,756.0,1011.0,1076.0,986.0,229.0,1025.0
0.733,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,758.0,1014.0,1079.0,988.0,93.0,1034.0
0.753,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,,stale,0,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,760.0,1018.0,1081.0,992.0,754.0,1026.0
