t,left,right,valid
4.011,1856.0,1976.0,1
4.031,1872.0,1988.0,1
4.051,1872.0,1988.0,1
4.071,1858.0,1989.0,1
4.091,1826.0,1990.0,1
4.111,1872.0,1989.0,1
4.131,1858.0,2003.0,1
4.151,1870.0,1989.0,1
4.172,1856.0,1976.0,1
4.192,1858.0,1990.0,1
4.212,1872.0,1989.0,1
4.232,1870.0,1975.0,1
4.252,1886.0,1985.0,1
4.272,1872.0,1987.0,1
4.292,1872.0,1975.0,1
4.312,1857.0,2004.0,1
4.332,1858.0,1987.0,1
4.353,1888.0,1988.0,1
4.373,1900.0,1991.0,1
4.393,1871.0,1989.0,1
4.413,1843.0,1988.0,1
4.433,1858.0,1988.0,1
4.453,1857.0,1990.0,1
4.473,1870.0,1988.0,1
4.493,1872.0,1987.0,1
4.513,1886.0,1990.0,1
4.534,1856.0,1989.0,1
4.554,1856.0,1988.0,1
4.574,1872.0,1986.0,1
4.594,1870.0,1989.0,1
4.614,1872.0,1989.0,1
4.634,1886.0,1971.0,1
4.654,1857.0,1987.0,1
4.674,1856.0,1989.0,1
4.694,1885.0,1972.0,1
4.714,1857.0,1972.0,1
4.735,1828.0,1989.0,1
4.755,1869.0,1975.0,1
4.775,1870.0,1987.0,1
4.795,1857.0,1973.0,1
4.815,1872.0,1975.0,1
4.835,1856.0,1975.0,1
4.855,1856.0,1988.0,1
4.875,1842.0,1994.0,1
4.895,1872.0,1975.0,1
4.916,1876.0,1976.0,1
4.936,1856.0,1973.0,1
4.956,1872.0,1989.0,1
4.976,1885.0,1975.0,1
4.996,1862.0,1974.0,1
5.016,1857.0,1970.0,1
5.036,1858.0,1975.0,1
5.056,1856.0,1975.0,1
5.076,1856.0,1989.0,1
5.096,1872.0,1972.0,1
5.117,1872.0,1975.0,1
5.137,1871.0,1974.0,1
5.157,1857.0,1972.0,1
5.177,1872.0,1973.0,1
5.197,1871.0,1975.0,1
5.217,1856.0,1973.0,1
5.237,1872.0,1973.0,1
5.257,1857.0,1989.0,1
5.277,1826.0,1989.0,1
5.297,1856.0,2002.0,1
5.318,1872.0,1973.0,1
5.338,1888.0,1975.0,1
5.358,1869.0,1989.0,1
5.378,1856.0,1974.0,1
5.398,1857.0,1957.0,1
5.418,1813.0,1960.0,1
5.438,1843.0,1990.0,1
5.458,1856.0,2001.0,1
5.478,1828.0,2002.0,1
5.498,1828.0,2003.0,1
5.518,1827.0,1989.0,1
5.539,1829.0,1998.0,1
5.559,1828.0,2003.0,1
5.579,1842.0,2003.0,1
5.599,1827.0,1984.0,1
5.619,1828.0,2001.0,1
5.639,1814.0,1989.0,1
5.659,1813.0,2003.0,1
5.679,1872.0,2001.0,1
5.699,1828.0,1988.0,1
5.72,1813.0,1989.0,1
5.74,1813.0,1973.0,1
5.76,1841.0,1973.0,1
5.78,1828.0,1974.0,1
5.8,1842.0,1961.0,1
5.82,1813.0,1946.0,1
5.84,1827.0,1962.0,1
5.86,1814.0,1946.0,1
5.88,1814.0,1961.0,1
5.9,1827.0,1975.0,1
5.921,1841.0,1972.0,1
5.941,1784.0,1946.0,1
5.961,1820.0,1947.0,1
5.981,1811.0,1941.0,1
6.001,1798.0,1931.0,1
6.021,1785.0,1920.0,1
6.041,1789.0,1914.0,1
6.061,1797.0,1929.0,1
6.081,1784.0,1904.0,1
6.101,1799.0,1918.0,1
6.122,1784.0,1915.0,1
6.142,1782.0,1915.0,1
6.162,1769.0,1889.0,1
6.182,1785.0,1918.0,1
6.202,1769.0,1902.0,1
6.222,1742.0,1902.0,1
6.242,1740.0,1904.0,1
6.262,1755.0,1902.0,1
6.282,1753.0,1902.0,1
6.302,1768.0,1889.0,1
6.323,1755.0,1904.0,1
6.343,1739.0,1888.0,1
6.363,1754.0,1885.0,1
6.383,1754.0,1889.0,1
6.403,1755.0,1889.0,1
6.423,1740.0,1907.0,1
6.443,1739.0,1901.0,1
6.463,1755.0,1917.0,1
6.483,1755.0,1926.0,1
6.503,1754.0,1915.0,1
6.524,1753.0,1917.0,1
6.544,1755.0,1918.0,1
6.564,1769.0,1929.0,1
6.584,1767.0,1930.0,1
6.604,1784.0,1932.0,1
6.624,1755.0,1933.0,1
6.644,1790.0,1945.0,1
6.664,1753.0,1930.0,1
6.684,1769.0,1946.0,1
6.704,1770.0,1932.0,1
6.725,1788.0,1946.0,1
6.745,1782.0,1945.0,1
6.765,1755.0,1946.0,1
6.785,1770.0,1931.0,1
6.805,1770.0,1927.0,1
6.825,1768.0,1946.0,1
6.845,1769.0,1946.0,1
6.865,1770.0,1947.0,1
6.885,1797.0,1928.0,1
6.906,1769.0,1932.0,1
6.926,1785.0,1932.0,1
6.946,1769.0,1943.0,1
6.966,1768.0,1930.0,1
6.986,1768.0,1931.0,1
7.006,1770.0,1944.0,1
7.026,1769.0,1944.0,1
7.046,1768.0,1945.0,1
7.066,1770.0,1932.0,1
7.086,1785.0,1930.0,1
7.107,1768.0,1930.0,1
7.127,1783.0,1931.0,1
7.147,1784.0,1931.0,1
7.167,1770.0,1929.0,1
7.187,1768.0,1931.0,1
7.207,1768.0,1932.0,1
7.227,1770.0,1917.0,1
7.247,1770.0,1931.0,1
7.267,1769.0,1931.0,1
7.287,1768.0,1931.0,1
7.308,1770.0,1931.0,1
7.328,1770.0,1928.0,1
7.348,1776.0,1932.0,1
7.368,1754.0,1917.0,1
7.388,1769.0,1928.0,1
7.408,1770.0,1915.0,1
7.428,1760.0,1932.0,1
7.448,1769.0,1932.0,1
7.468,1770.0,1929.0,1
7.488,1769.0,1929.0,1
7.509,1769.0,1918.0,1
7.529,1770.0,1915.0,1
7.549,1755.0,1916.0,1
7.569,1784.0,1917.0,1
7.589,1769.0,1932.0,1
7.609,1755.0,1930.0,1
7.629,1770.0,1932.0,1
7.649,1769.0,1918.0,1
7.669,1770.0,1932.0,1
7.69,1770.0,1916.0,1
7.71,1769.0,1915.0,1
7.73,1769.0,1918.0,1
7.75,1755.0,1917.0,1
7.77,1755.0,1927.0,1
7.79,1768.0,1917.0,1
7.81,1754.0,1932.0,1
7.83,1754.0,1928.0,1
7.85,1741.0,1916.0,1
7.87,1768.0,1931.0,1
7.891,1739.0,1932.0,1
7.911,1755.0,1930.0,1
7.931,1755.0,1916.0,1
7.951,1753.0,1918.0,1
7.971,1783.0,1932.0,1
7.991,1755.0,1915.0,1
8.011,1769.0,1916.0,1
8.031,1782.0,1931.0,1
8.051,1769.0,1930.0,1
8.072,1754.0,1940.0,1
8.092,1756.0,1931.0,1
8.112,1753.0,1918.0,1
8.132,1755.0,1936.0,1
8.152,1755.0,1928.0,1
8.172,1754.0,1917.0,1
8.192,1753.0,1918.0,1
8.212,1754.0,1928.0,1
8.232,1755.0,1915.0,1
8.252,1769.0,1932.0,1
8.273,1755.0,1933.0,1
8.293,1770.0,1930.0,1
8.313,1769.0,1931.0,1
8.333,1740.0,1946.0,1
8.353,1755.0,1929.0,1
8.373,1755.0,1930.0,1
8.393,1769.0,1932.0,1
8.413,1754.0,1933.0,1
8.433,1770.0,1930.0,1
8.453,1756.0,1930.0,1
8.474,1753.0,1932.0,1
8.494,1754.0,1946.0,1
8.514,1755.0,1930.0,1
8.534,1770.0,1944.0,1
8.554,1774.0,1932.0,1
8.574,1754.0,1945.0,1
8.594,1771.0,1932.0,1
8.614,1755.0,1945.0,1
8.634,1776.0,1946.0,1
8.654,1753.0,1946.0,1
8.674,1755.0,1943.0,1
8.695,1770.0,1946.0,1
8.715,1725.0,1946.0,1
8.735,1755.0,1927.0,1
8.755,1755.0,1944.0,1
8.775,1754.0,1946.0,1
8.795,1755.0,1962.0,1
8.815,1741.0,1943.0,1
8.835,1755.0,1945.0,1
8.855,1754.0,1946.0,1
8.875,1754.0,1930.0,1
8.895,1769.0,1943.0,1
8.915,1755.0,1946.0,1
8.936,1768.0,1946.0,1
8.956,1753.0,1929.0,1
8.976,1742.0,1945.0,1
8.996,1770.0,1932.0,1
9.016,1768.0,1947.0,1
9.036,1753.0,1944.0,1
9.056,1769.0,1930.0,1
9.076,1770.0,1946.0,1
9.096,1782.0,1959.0,1
9.116,1754.0,1944.0,1
9.137,1769.0,1945.0,1
9.157,1770.0,1932.0,1
9.177,1756.0,1931.0,1
9.197,1770.0,1941.0,1
9.217,1740.0,1946.0,1
9.237,1755.0,1947.0,1
9.257,1775.0,1941.0,1
9.277,1755.0,1944.0,1
9.297,1740.0,1946.0,1
9.317,1769.0,1942.0,1
9.338,1774.0,1944.0,1
9.358,1754.0,1946.0,1
9.378,1755.0,1946.0,1
9.398,1754.0,1943.0,1
9.418,1754.0,1944.0,1
9.438,1754.0,1946.0,1
9.458,1755.0,1946.0,1
9.478,1753.0,1944.0,1
9.498,1756.0,1961.0,1
9.518,1768.0,1946.0,1
9.539,1767.0,1946.0,1
9.559,1754.0,1944.0,1
9.579,1754.0,1945.0,1
9.599,1756.0,1947.0,1
9.619,1768.0,1946.0,1
9.639,1769.0,1942.0,1
9.659,1770.0,1946.0,1
9.679,1755.0,1946.0,1
9.699,1753.0,1955.0,1
9.72,1769.0,1944.0,1
9.74,1755.0,1946.0,1
9.76,1740.0,1946.0,1
9.78,1756.0,1944.0,1
9.8,1769.0,1944.0,1
9.82,1784.0,1946.0,1
9.84,1755.0,1958.0,1
9.86,1761.0,1945.0,1
9.88,1784.0,1946.0,1
9.9,1755.0,1947.0,1
9.921,1769.0,1944.0,1
9.941,1757.0,1945.0,1
9.961,1755.0,1945.0,1
9.981,1755.0,1946.0,1
10.001,1754.0,1944.0,1
10.021,1770.0,1943.0,1
10.041,1755.0,1931.0,1
10.061,1754.0,1946.0,1
10.081,1755.0,1948.0,1
10.101,1769.0,1945.0,1
10.122,1755.0,1946.0,1
10.142,1754.0,1942.0,1
10.162,1784.0,1943.0,1
10.182,1755.0,1946.0,1
10.202,1770.0,1932.0,1
10.222,1753.0,1943.0,1
10.242,1754.0,1930.0,1
10.262,1770.0,1946.0,1
