t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,near_direction,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,enemy_bad_interrupt_count,vision_sequence,vision_status,vision_has_good,vision_has_bad,reason,left_cmd,right_cmd,healthy
0.027,1236.0,1563.0,1556.0,1363.0,2.2972,1.8472,1.9636,2.3087,2.1304,1,0,0,0,0,0,1,931.0,228.0,974.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.047,1236.0,1562.0,1556.0,1362.0,2.2972,1.8462,1.9636,2.307,2.1304,1,0,0,0,0,0,1,1014.0,734.0,978.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.067,1231.0,1556.0,1550.0,1357.0,2.2817,1.8333,1.949,2.2886,2.1154,1,0,0,0,0,0,1,1081.0,375.0,1056.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.087,1231.0,1556.0,1550.0,1357.0,2.2817,1.8333,1.949,2.2886,2.1154,1,0,0,0,0,0,1,1081.0,375.0,1056.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.108,1226.0,1552.0,1546.0,1352.0,2.2817,1.8333,1.949,2.2886,2.1154,1,0,0,0,0,0,1,1127.0,345.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IR_UNCLASSIFIED,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,近物体已停车，等待新视觉帧排除 good/bad,0,0,1
0.128,1231.0,1559.0,1552.0,1358.0,2.2817,1.8333,1.949,2.2886,2.1154,1,0,0,0,0,0,1,1095.0,226.0,973.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.148,1225.0,1550.0,1544.0,1351.0,2.2663,1.8254,1.9393,2.2718,2.1028,1,0,0,0,0,0,1,1111.0,756.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.168,1224.0,1550.0,1544.0,1350.0,2.2632,1.8214,1.9345,2.2685,2.0988,1,0,0,0,0,0,1,1081.0,362.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.188,1239.0,1569.0,1560.0,1368.0,2.2632,1.8214,1.9345,2.2685,2.0988,1,0,0,0,0,0,1,1079.0,607.0,977.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.208,1242.0,1571.0,1564.0,1370.0,2.3065,1.8591,1.9733,2.3255,2.1399,1,0,0,0,0,0,1,1126.0,409.0,975.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.228,1237.0,1565.0,1557.0,1363.0,2.3065,1.8591,1.9733,2.3255,2.1399,1,0,0,0,0,0,1,1093.0,228.0,974.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.248,1244.0,1572.0,1561.0,1368.0,2.3158,1.8631,1.9757,2.3255,2.1458,1,0,0,0,0,0,1,1130.0,737.0,977.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.268,1240.0,1567.0,1561.0,1368.0,2.3096,1.8552,1.9757,2.3255,2.1427,1,0,0,0,0,0,1,1096.0,95.0,1008.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.288,1232.0,1559.0,1552.0,1358.0,2.3096,1.8552,1.9757,2.3255,2.1427,1,0,0,0,0,0,1,1109.0,360.0,974.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.309,1244.0,1572.0,1565.0,1371.0,2.3096,1.8552,1.9757,2.3255,2.1427,1,0,0,0,0,0,1,1138.0,608.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.329,1240.0,1568.0,1561.0,1368.0,2.3096,1.8571,1.9757,2.3255,2.1427,1,0,0,0,0,0,1,1064.0,227.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.349,1234.0,1561.0,1554.0,1361.0,2.3096,1.8571,1.9757,2.3255,2.1427,1,0,0,0,0,0,1,1127.0,369.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.369,1240.0,1567.0,1560.0,1367.0,2.3096,1.8552,1.9733,2.3221,2.1414,1,0,0,0,0,0,1,1109.0,377.0,974.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.389,1240.0,1569.0,1562.0,1365.0,2.3096,1.8552,1.9733,2.3154,2.1414,1,0,0,0,0,0,1,1075.0,227.0,975.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.409,1240.0,1569.0,1562.0,1365.0,2.3096,1.8591,1.9782,2.3154,2.1439,1,0,0,0,0,0,1,1075.0,227.0,975.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.429,1240.0,1568.0,1560.0,1368.0,2.3096,1.8591,1.9782,2.3154,2.1439,1,0,0,0,0,0,1,1080.0,362.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.449,1240.0,1568.0,1561.0,1366.0,2.3096,1.8571,1.9757,2.3188,2.1427,1,0,0,0,0,0,1,1128.0,96.0,974.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.469,1239.0,1567.0,1560.0,1365.0,2.3096,1.8571,1.9733,2.3188,2.1414,1,0,0,0,0,0,1,1126.0,40.0,974.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.489,1237.0,1564.0,1558.0,1365.0,2.3065,1.8552,1.9733,2.3154,2.1399,1,0,0,0,0,0,1,1078.0,227.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.509,1238.0,1568.0,1560.0,1367.0,2.3034,1.8552,1.9733,2.3154,2.1384,1,0,0,0,0,0,1,1096.0,361.0,976.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.529,1242.0,1570.0,1563.0,1369.0,2.3034,1.8571,1.9733,2.3221,2.1384,1,0,0,0,0,0,1,1112.0,361.0,975.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
