t,left,right,diff,valid
3.383,16.0,20.0,-4.0,1
3.403,17.0,20.0,-3.0,1
3.423,25.0,21.0,4.0,1
3.444,18.0,20.0,-2.0,1
3.464,18.0,20.0,-2.0,1
3.484,17.0,31.0,-14.0,1
3.504,17.0,30.0,-13.0,1
3.524,18.0,34.0,-16.0,1
3.544,17.0,21.0,-4.0,1
3.564,16.0,20.0,-4.0,1
3.584,19.0,21.0,-2.0,1
3.604,17.0,20.0,-3.0,1
3.625,17.0,20.0,-3.0,1
3.645,17.0,20.0,-3.0,1
3.665,16.0,20.0,-4.0,1
3.685,24.0,20.0,4.0,1
3.705,17.0,20.0,-3.0,1
3.725,17.0,21.0,-4.0,1
3.745,16.0,21.0,-5.0,1
3.765,16.0,20.0,-4.0,1
3.785,32.0,20.0,12.0,1
3.805,17.0,20.0,-3.0,1
3.825,17.0,20.0,-3.0,1
3.845,16.0,20.0,-4.0,1
3.865,18.0,21.0,-3.0,1
3.886,16.0,20.0,-4.0,1
3.906,17.0,20.0,-3.0,1
3.926,16.0,20.0,-4.0,1
3.946,17.0,21.0,-4.0,1
3.966,17.0,20.0,-3.0,1
3.986,17.0,20.0,-3.0,1
4.006,17.0,20.0,-3.0,1
4.026,17.0,21.0,-4.0,1
4.046,52.0,20.0,32.0,1
4.066,23.0,19.0,4.0,1
4.086,17.0,21.0,-4.0,1
4.106,16.0,20.0,-4.0,1
4.127,17.0,20.0,-3.0,1
4.147,17.0,21.0,-4.0,1
4.167,17.0,20.0,-3.0,1
4.187,18.0,20.0,-2.0,1
4.207,16.0,21.0,-5.0,1
4.227,16.0,20.0,-4.0,1
4.247,17.0,21.0,-4.0,1
4.267,17.0,20.0,-3.0,1
4.287,16.0,20.0,-4.0,1
4.307,25.0,20.0,5.0,1
4.327,17.0,21.0,-4.0,1
4.347,17.0,21.0,-4.0,1
4.367,17.0,20.0,-3.0,1
4.388,16.0,20.0,-4.0,1
4.408,41.0,20.0,21.0,1
4.428,16.0,20.0,-4.0,1
4.448,17.0,20.0,-3.0,1
4.468,16.0,20.0,-4.0,1
4.488,18.0,32.0,-14.0,1
4.508,17.0,22.0,-5.0,1
4.528,16.0,20.0,-4.0,1
4.548,16.0,20.0,-4.0,1
4.568,17.0,21.0,-4.0,1
4.588,17.0,20.0,-3.0,1
4.608,23.0,20.0,3.0,1
4.629,17.0,19.0,-2.0,1
4.649,25.0,20.0,5.0,1
4.669,17.0,20.0,-3.0,1
4.689,17.0,20.0,-3.0,1
4.709,18.0,20.0,-2.0,1
4.729,17.0,20.0,-3.0,1
4.749,16.0,20.0,-4.0,1
4.769,19.0,20.0,-1.0,1
4.789,17.0,20.0,-3.0,1
4.81,17.0,33.0,-16.0,1
4.83,16.0,27.0,-11.0,1
4.85,27.0,32.0,-5.0,1
4.87,19.0,21.0,-2.0,1
4.89,16.0,20.0,-4.0,1
4.91,100.0,20.0,80.0,1
4.93,17.0,20.0,-3.0,1
4.95,17.0,21.0,-4.0,1
4.97,16.0,20.0,-4.0,1
4.99,16.0,20.0,-4.0,1
5.011,17.0,20.0,-3.0,1
5.031,17.0,20.0,-3.0,1
5.051,17.0,20.0,-3.0,1
5.071,17.0,20.0,-3.0,1
5.091,17.0,20.0,-3.0,1
5.111,16.0,20.0,-4.0,1
5.131,20.0,20.0,0.0,1
5.151,17.0,31.0,-14.0,1
5.171,17.0,22.0,-5.0,1
5.192,16.0,20.0,-4.0,1
5.212,17.0,21.0,-4.0,1
5.232,25.0,20.0,5.0,1
5.252,17.0,21.0,-4.0,1
