t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.021,545.0,742.0,373.0,1015.0,-1.0707,-0.9303,-0.7563,-1.3267,0,0,0,0,0,0,0,0,1,471.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,545.0,741.0,374.0,1014.0,-0.3293,-0.1242,-0.2368,-0.2693,1,0,0,0,0,0,0,0,1,210.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,545.0,741.0,373.0,1013.0,-0.3293,-0.1242,-0.2368,-0.2693,1,0,0,0,0,0,0,0,1,209.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,544.0,740.0,373.0,1013.0,-0.3293,-0.1242,-0.2368,-0.2714,1,1,0,0,0,0,0,0,1,160.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.102,544.0,738.0,371.0,1011.0,-0.332,-0.1264,-0.2368,-0.2714,1,0,0,0,0,0,0,0,1,177.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.122,544.0,739.0,371.0,1011.0,-0.332,-0.1285,-0.2423,-0.2756,1,0,0,0,0,0,0,0,1,258.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.142,545.0,741.0,373.0,1013.0,-0.332,-0.1285,-0.2423,-0.2756,1,0,0,0,0,0,0,0,1,242.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.163,544.0,742.0,373.0,1013.0,-0.332,-0.1242,-0.2368,-0.2714,1,0,0,0,0,0,0,0,1,162.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.183,544.0,742.0,373.0,1014.0,-0.332,-0.122,-0.2368,-0.2714,1,0,0,0,0,0,0,0,1,160.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.203,545.0,743.0,373.0,1014.0,-0.332,-0.122,-0.2368,-0.2693,1,0,0,0,0,0,0,0,1,-6.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.223,545.0,742.0,373.0,1015.0,-0.3293,-0.122,-0.2368,-0.2693,1,0,0,0,0,0,0,0,1,178.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.243,545.0,741.0,373.0,1015.0,-0.3293,-0.122,-0.2368,-0.2672,1,0,0,0,0,0,0,0,1,162.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.263,546.0,743.0,375.0,1016.0,-0.3293,-0.122,-0.2368,-0.2672,1,0,0,0,0,0,0,0,1,684.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.283,545.0,742.0,374.0,1015.0,-0.3293,-0.122,-0.234,-0.2672,1,0,0,0,0,0,0,0,1,226.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.303,546.0,743.0,374.0,1015.0,-0.3265,-0.1198,-0.234,-0.2672,1,0,0,0,0,0,0,0,1,570.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.323,546.0,743.0,374.0,1015.0,-0.3265,-0.1198,-0.234,-0.2672,1,0,0,0,0,0,0,0,1,293.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.344,547.0,744.0,376.0,1018.0,-0.3265,-0.1198,-0.234,-0.2672,1,0,0,0,0,0,0,0,1,5.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.364,547.0,744.0,376.0,1018.0,-0.3238,-0.1176,-0.2284,-0.261,1,0,0,0,0,0,0,0,1,177.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
0.384,546.0,744.0,375.0,1017.0,-0.3238,-0.1176,-0.2284,-0.261,1,0,0,0,0,0,0,0,1,-5.0,IR_WAIT,掉台但六路红外暂时无值，停车等待,0,0,1
