t,left,right,diff,valid
3.561,710.0,291.0,419.0,1
3.581,727.0,272.0,455.0,1
3.601,708.0,222.0,486.0,1
3.622,654.0,275.0,379.0,1
3.642,646.0,226.0,420.0,1
3.662,645.0,274.0,371.0,1
3.682,725.0,274.0,451.0,1
3.702,724.0,223.0,501.0,1
3.722,678.0,273.0,405.0,1
3.742,645.0,241.0,404.0,1
3.762,645.0,275.0,370.0,1
3.783,650.0,275.0,375.0,1
3.803,645.0,225.0,420.0,1
3.823,708.0,55.0,653.0,1
3.843,725.0,273.0,452.0,1
3.863,644.0,273.0,371.0,1
3.883,644.0,274.0,370.0,1
3.903,644.0,239.0,405.0,1
3.923,661.0,272.0,389.0,1
3.943,717.0,273.0,444.0,1
3.964,708.0,274.0,434.0,1
3.984,708.0,273.0,435.0,1
4.004,646.0,223.0,423.0,1
4.024,643.0,270.0,373.0,1
4.044,644.0,292.0,352.0,1
4.064,726.0,291.0,435.0,1
4.084,725.0,274.0,451.0,1
4.104,709.0,241.0,468.0,1
4.125,644.0,273.0,371.0,1
4.145,629.0,279.0,350.0,1
4.165,646.0,258.0,388.0,1
4.185,708.0,273.0,435.0,1
4.205,744.0,258.0,486.0,1
4.225,709.0,273.0,436.0,1
4.245,707.0,272.0,435.0,1
4.265,645.0,240.0,405.0,1
4.286,645.0,274.0,371.0,1
4.306,644.0,241.0,403.0,1
4.326,710.0,274.0,436.0,1
4.346,725.0,272.0,453.0,1
4.366,644.0,239.0,405.0,1
4.386,646.0,274.0,372.0,1
4.406,644.0,242.0,402.0,1
4.426,660.0,273.0,387.0,1
4.446,728.0,283.0,445.0,1
4.467,711.0,581.0,130.0,1
4.487,709.0,302.0,407.0,1
4.507,642.0,56.0,586.0,1
4.527,645.0,274.0,371.0,1
4.547,646.0,603.0,43.0,1
4.567,708.0,274.0,434.0,1
4.587,714.0,273.0,441.0,1
4.607,725.0,274.0,451.0,1
4.627,644.0,74.0,570.0,1
4.647,629.0,274.0,355.0,1
4.668,644.0,274.0,370.0,1
4.688,652.0,273.0,379.0,1
4.708,727.0,273.0,454.0,1
4.728,708.0,274.0,434.0,1
4.748,709.0,274.0,435.0,1
4.768,645.0,274.0,371.0,1
4.788,645.0,271.0,374.0,1
4.808,644.0,270.0,374.0,1
4.828,724.0,273.0,451.0,1
4.849,708.0,440.0,268.0,1
4.869,707.0,273.0,434.0,1
4.889,644.0,272.0,372.0,1
4.909,644.0,273.0,371.0,1
4.929,659.0,272.0,387.0,1
4.949,644.0,274.0,370.0,1
4.969,724.0,273.0,451.0,1
4.989,706.0,272.0,434.0,1
5.01,635.0,272.0,363.0,1
5.03,643.0,272.0,371.0,1
5.05,642.0,273.0,369.0,1
5.07,708.0,274.0,434.0,1
5.09,710.0,273.0,437.0,1
5.11,733.0,272.0,461.0,1
5.13,723.0,270.0,453.0,1
5.15,630.0,601.0,29.0,1
5.17,643.0,72.0,571.0,1
5.191,643.0,273.0,370.0,1
5.211,719.0,288.0,431.0,1
5.231,742.0,281.0,461.0,1
5.251,709.0,285.0,424.0,1
5.271,644.0,273.0,371.0,1
5.291,643.0,274.0,369.0,1
5.311,648.0,601.0,47.0,1
5.331,708.0,288.0,420.0,1
5.351,709.0,272.0,437.0,1
5.372,711.0,57.0,654.0,1
5.392,644.0,274.0,370.0,1
5.412,644.0,322.0,322.0,1
5.432,662.0,274.0,388.0,1
5.452,643.0,272.0,371.0,1
5.472,725.0,274.0,451.0,1
5.492,707.0,273.0,434.0,1
5.512,644.0,257.0,387.0,1
5.532,645.0,273.0,372.0,1
5.553,645.0,272.0,373.0,1
5.573,645.0,244.0,401.0,1
5.593,709.0,274.0,435.0,1
5.613,723.0,208.0,515.0,1
5.633,707.0,275.0,432.0,1
5.653,644.0,337.0,307.0,1
5.673,645.0,246.0,399.0,1
5.694,646.0,274.0,372.0,1
5.714,709.0,241.0,468.0,1
5.734,724.0,274.0,450.0,1
5.754,714.0,273.0,441.0,1
5.774,644.0,35.0,609.0,1
5.794,645.0,273.0,372.0,1
5.814,644.0,36.0,608.0,1
5.834,643.0,273.0,370.0,1
5.854,710.0,274.0,436.0,1
5.875,707.0,256.0,451.0,1
5.895,646.0,273.0,373.0,1
5.915,643.0,272.0,371.0,1
5.935,644.0,275.0,369.0,1
5.955,644.0,274.0,370.0,1
5.975,724.0,44.0,680.0,1
5.995,707.0,270.0,437.0,1
6.015,725.0,284.0,441.0,1
6.035,646.0,274.0,372.0,1
6.056,643.0,273.0,370.0,1
6.076,643.0,36.0,607.0,1
6.096,708.0,274.0,434.0,1
6.116,707.0,271.0,436.0,1
6.136,708.0,273.0,435.0,1
6.156,644.0,273.0,371.0,1
6.176,653.0,29.0,624.0,1
6.196,642.0,173.0,469.0,1
6.216,708.0,272.0,436.0,1
6.237,724.0,35.0,689.0,1
6.257,707.0,274.0,433.0,1
6.277,653.0,258.0,395.0,1
6.297,643.0,272.0,371.0,1
6.317,645.0,272.0,373.0,1
6.337,662.0,255.0,407.0,1
6.357,707.0,272.0,435.0,1
6.378,707.0,256.0,451.0,1
6.398,646.0,275.0,371.0,1
6.418,645.0,272.0,373.0,1
6.438,642.0,44.0,598.0,1
6.458,668.0,273.0,395.0,1
6.478,743.0,242.0,501.0,1
6.498,710.0,274.0,436.0,1
6.519,724.0,272.0,452.0,1
6.539,644.0,534.0,110.0,1
6.559,647.0,584.0,63.0,1
6.579,645.0,425.0,220.0,1
6.599,708.0,273.0,435.0,1
6.619,708.0,279.0,429.0,1
6.639,741.0,41.0,700.0,1
6.659,645.0,273.0,372.0,1
6.68,644.0,289.0,355.0,1
6.7,642.0,274.0,368.0,1
6.72,645.0,275.0,370.0,1
6.74,726.0,554.0,172.0,1
6.76,725.0,271.0,454.0,1
6.78,651.0,272.0,379.0,1
6.8,644.0,289.0,355.0,1
6.82,642.0,273.0,369.0,1
6.84,710.0,536.0,174.0,1
6.861,725.0,288.0,437.0,1
6.881,717.0,271.0,446.0,1
6.901,707.0,273.0,434.0,1
6.921,644.0,273.0,371.0,1
6.941,645.0,28.0,617.0,1
6.961,643.0,272.0,371.0,1
6.981,709.0,271.0,438.0,1
7.001,724.0,208.0,516.0,1
7.021,676.0,273.0,403.0,1
7.042,643.0,207.0,436.0,1
7.062,645.0,273.0,372.0,1
7.082,642.0,272.0,370.0,1
7.102,693.0,224.0,469.0,1
7.122,708.0,273.0,435.0,1
7.142,738.0,224.0,514.0,1
7.162,644.0,274.0,370.0,1
7.182,643.0,272.0,371.0,1
7.202,642.0,223.0,419.0,1
7.223,708.0,272.0,436.0,1
7.243,706.0,241.0,465.0,1
7.264,710.0,276.0,434.0,1
7.284,645.0,278.0,367.0,1
7.304,644.0,44.0,600.0,1
7.324,643.0,274.0,369.0,1
7.344,642.0,225.0,417.0,1
7.364,710.0,274.0,436.0,1
7.384,727.0,274.0,453.0,1
7.404,644.0,27.0,617.0,1
7.425,644.0,273.0,371.0,1
7.445,646.0,225.0,421.0,1
7.465,647.0,276.0,371.0,1
7.485,710.0,275.0,435.0,1
7.505,741.0,224.0,517.0,1
7.525,710.0,275.0,435.0,1
7.545,646.0,274.0,372.0,1
7.565,645.0,274.0,371.0,1
7.585,645.0,275.0,370.0,1
7.606,654.0,237.0,417.0,1
7.626,725.0,280.0,445.0,1
7.646,727.0,290.0,437.0,1
7.666,647.0,276.0,371.0,1
7.686,646.0,276.0,370.0,1
7.706,653.0,226.0,427.0,1
7.726,662.0,74.0,588.0,1
7.746,710.0,274.0,436.0,1
7.766,720.0,264.0,456.0,1
7.787,710.0,275.0,435.0,1
7.807,648.0,208.0,440.0,1
7.827,645.0,273.0,372.0,1
7.847,643.0,273.0,370.0,1
7.867,710.0,336.0,374.0,1
7.887,710.0,276.0,434.0,1
7.907,708.0,225.0,483.0,1
