t,left,right,diff,valid
3.179,1313.0,1308.0,5.0,1
3.199,1313.0,1086.0,227.0,1
3.219,1312.0,1067.0,245.0,1
3.239,1314.0,1067.0,247.0,1
3.259,1313.0,1066.0,247.0,1
3.279,1312.0,1070.0,242.0,1
3.299,1313.0,1069.0,244.0,1
3.319,1314.0,1067.0,247.0,1
3.339,1313.0,1078.0,235.0,1
3.359,1314.0,1307.0,7.0,1
3.379,1312.0,1164.0,148.0,1
3.4,1314.0,1308.0,6.0,1
3.42,1313.0,1069.0,244.0,1
3.44,1312.0,1069.0,243.0,1
3.46,1313.0,1305.0,8.0,1
3.48,1311.0,1067.0,244.0,1
3.5,1316.0,1647.0,-331.0,1
3.52,1315.0,1527.0,-212.0,1
3.54,1312.0,1306.0,6.0,1
3.56,1313.0,1067.0,246.0,1
3.58,1312.0,1067.0,245.0,1
3.601,1313.0,1069.0,244.0,1
3.621,1313.0,1069.0,244.0,1
3.641,1309.0,1070.0,239.0,1
3.661,1316.0,1305.0,11.0,1
3.681,1314.0,1081.0,233.0,1
3.701,1313.0,1116.0,197.0,1
3.721,1312.0,1086.0,226.0,1
3.741,1312.0,1085.0,227.0,1
3.761,1313.0,1069.0,244.0,1
3.781,1314.0,1337.0,-23.0,1
3.802,1317.0,1067.0,250.0,1
3.822,1312.0,1256.0,56.0,1
3.842,1312.0,1069.0,243.0,1
3.862,1314.0,1070.0,244.0,1
3.882,1314.0,1067.0,247.0,1
3.902,1315.0,1304.0,11.0,1
3.922,1314.0,1306.0,8.0,1
3.942,1312.0,1068.0,244.0,1
3.962,1313.0,1307.0,6.0,1
3.983,1312.0,1064.0,248.0,1
4.003,1311.0,1072.0,239.0,1
4.023,1313.0,1303.0,10.0,1
4.043,1313.0,1225.0,88.0,1
4.063,1312.0,1069.0,243.0,1
4.083,1312.0,1069.0,243.0,1
4.103,1311.0,1067.0,244.0,1
4.123,1313.0,1305.0,8.0,1
4.143,1312.0,1291.0,21.0,1
4.163,1312.0,1291.0,21.0,1
4.184,1314.0,1540.0,-226.0,1
4.204,1314.0,1291.0,23.0,1
4.224,1314.0,1244.0,70.0,1
4.244,1314.0,1100.0,214.0,1
4.264,1312.0,1101.0,211.0,1
4.284,1321.0,1069.0,252.0,1
4.304,1313.0,1068.0,245.0,1
4.324,1314.0,1066.0,248.0,1
4.345,1313.0,1317.0,-4.0,1
4.365,1312.0,1084.0,228.0,1
4.385,1312.0,1069.0,243.0,1
4.405,1313.0,1292.0,21.0,1
4.425,1312.0,1082.0,230.0,1
4.445,1322.0,1288.0,34.0,1
4.465,1312.0,1068.0,244.0,1
4.486,1313.0,1148.0,165.0,1
4.506,1313.0,1070.0,243.0,1
4.526,1315.0,1083.0,232.0,1
4.546,1313.0,1095.0,218.0,1
4.566,1314.0,1226.0,88.0,1
4.587,1314.0,1385.0,-71.0,1
4.607,1312.0,1069.0,243.0,1
4.627,1312.0,1067.0,245.0,1
4.647,1313.0,1097.0,216.0,1
4.667,1313.0,1065.0,248.0,1
4.687,1312.0,1070.0,242.0,1
4.707,1312.0,1069.0,243.0,1
4.728,1313.0,1069.0,244.0,1
4.748,1313.0,1097.0,216.0,1
4.768,1314.0,1291.0,23.0,1
4.788,1312.0,1068.0,244.0,1
4.808,1312.0,1054.0,258.0,1
4.828,1313.0,1072.0,241.0,1
4.848,1313.0,1464.0,-151.0,1
4.868,1312.0,1053.0,259.0,1
4.889,1312.0,1069.0,243.0,1
4.909,1312.0,1069.0,243.0,1
4.929,1314.0,1070.0,244.0,1
4.949,1313.0,1308.0,5.0,1
4.969,1312.0,1068.0,244.0,1
4.989,1313.0,1290.0,23.0,1
5.009,1316.0,1495.0,-179.0,1
5.029,1314.0,1069.0,245.0,1
5.049,1313.0,1526.0,-213.0,1
5.07,1312.0,1115.0,197.0,1
5.09,1313.0,1067.0,246.0,1
5.11,1315.0,1304.0,11.0,1
5.13,1313.0,1307.0,6.0,1
5.15,1312.0,1069.0,243.0,1
5.17,1314.0,1065.0,249.0,1
5.19,1314.0,1095.0,219.0,1
5.21,1313.0,1068.0,245.0,1
5.23,1312.0,1054.0,258.0,1
5.251,1312.0,1086.0,226.0,1
5.271,1312.0,1054.0,258.0,1
5.291,1312.0,1067.0,245.0,1
5.311,1312.0,1084.0,228.0,1
5.331,1322.0,1199.0,123.0,1
5.351,1314.0,1070.0,244.0,1
5.371,1315.0,1071.0,244.0,1
5.391,1312.0,1069.0,243.0,1
5.412,1312.0,1084.0,228.0,1
5.432,1317.0,1292.0,25.0,1
5.452,1315.0,1070.0,245.0,1
5.472,1315.0,1055.0,260.0,1
5.492,1315.0,1295.0,20.0,1
5.512,1316.0,1400.0,-84.0,1
5.532,1313.0,1080.0,233.0,1
5.552,1314.0,1291.0,23.0,1
5.573,1313.0,1054.0,259.0,1
5.593,1309.0,1069.0,240.0,1
5.613,1312.0,1080.0,232.0,1
5.633,1313.0,1068.0,245.0,1
5.653,1314.0,1084.0,230.0,1
5.673,1312.0,1053.0,259.0,1
5.693,1322.0,1070.0,252.0,1
5.713,1312.0,1101.0,211.0,1
5.733,1313.0,1052.0,261.0,1
5.753,1312.0,1067.0,245.0,1
5.773,1312.0,1068.0,244.0,1
5.793,1322.0,1070.0,252.0,1
5.814,1313.0,1069.0,244.0,1
5.834,1316.0,1082.0,234.0,1
5.854,1314.0,1247.0,67.0,1
5.874,1312.0,1068.0,244.0,1
5.894,1312.0,1069.0,243.0,1
5.914,1312.0,1069.0,243.0,1
5.934,1312.0,1308.0,4.0,1
5.954,1313.0,1084.0,229.0,1
5.974,1314.0,1149.0,165.0,1
5.994,1315.0,1245.0,70.0,1
6.014,1314.0,1086.0,228.0,1
6.035,1312.0,1293.0,19.0,1
6.055,1313.0,1083.0,230.0,1
6.075,1314.0,1066.0,248.0,1
6.095,1314.0,1196.0,118.0,1
6.115,1315.0,1517.0,-202.0,1
6.135,1312.0,1308.0,4.0,1
6.155,1311.0,1067.0,244.0,1
6.175,1314.0,1082.0,232.0,1
6.195,1312.0,1068.0,244.0,1
6.216,1312.0,1068.0,244.0,1
6.236,1311.0,1085.0,226.0,1
6.256,1313.0,1070.0,243.0,1
6.276,1314.0,1068.0,246.0,1
6.296,1312.0,1290.0,22.0,1
6.316,1312.0,1067.0,245.0,1
6.336,1314.0,1292.0,22.0,1
6.356,1313.0,1260.0,53.0,1
6.376,1312.0,1068.0,244.0,1
6.397,1312.0,1067.0,245.0,1
6.417,1313.0,1067.0,246.0,1
6.437,1312.0,1068.0,244.0,1
6.457,1313.0,1307.0,6.0,1
6.477,1314.0,1308.0,6.0,1
6.497,1312.0,1098.0,214.0,1
6.517,1313.0,1064.0,249.0,1
6.537,1313.0,1068.0,245.0,1
