t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.543,526.0,749.0,353.0,1011.0,-0.3837,-0.1133,-0.2981,-0.2756,1,0,1,0,0,0,0,0,1,253.0,22.0,253.0,231.0,ADC_APPROACH,ADC 信号弱 251，靠墙脉冲 1/3,400,400,1
0.563,528.0,744.0,355.0,1024.0,-0.381,-0.1133,-0.2925,-0.2756,1,0,1,0,0,0,0,0,1,366.0,24.0,366.0,342.0,ADC_CORRECT,靠墙脉冲完成，重新采样,0,0,1
0.584,526.0,737.0,357.0,1024.0,-0.381,-0.1176,-0.2869,-0.2484,1,0,1,0,0,0,0,0,1,250.0,21.0,250.0,229.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.604,530.0,737.0,358.0,1027.0,-0.3755,-0.1329,-0.2813,-0.2484,1,0,1,0,0,0,0,0,1,316.0,21.0,316.0,295.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.624,534.0,742.0,361.0,1030.0,-0.3701,-0.1329,-0.2786,-0.2422,1,0,1,0,0,0,0,0,1,461.0,20.0,461.0,441.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.644,539.0,745.0,365.0,1017.0,-0.3592,-0.122,-0.2702,-0.2422,1,0,1,0,0,0,0,0,1,282.0,21.0,282.0,261.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.664,539.0,745.0,365.0,1017.0,-0.3456,-0.1155,-0.2591,-0.263,1,0,1,0,0,0,0,0,1,282.0,21.0,282.0,261.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.684,547.0,745.0,365.0,1016.0,-0.3456,-0.1155,-0.2591,-0.263,1,0,1,0,0,0,0,0,1,283.0,21.0,283.0,262.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.704,550.0,745.0,361.0,1025.0,-0.3238,-0.1155,-0.2591,-0.263,1,0,1,0,0,0,0,0,1,301.0,34.0,301.0,267.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
0.724,550.0,749.0,359.0,1027.0,-0.3156,-0.1155,-0.2702,-0.2463,1,0,1,0,0,0,0,0,1,184.0,17.0,184.0,167.0,ADC_CORRECT,ADC 中值滤波准备中,0,0,1
