t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.5294,-1.254,-1.8131,-2.2651,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,489.0,959.0,679.0,587.0,-0.7724,-0.3026,-0.9891,-1.2802,0,0,0,1,0,1,0,1,1,319.0,21.0,319.0,298.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,488.0,956.0,678.0,586.0,-0.0186,0.6429,-0.1675,-0.2987,0,0,0,1,0,1,0,1,1,271.0,21.0,271.0,250.0,WAIT,等待掉台触发,0,0,1
0.061,486.0,953.0,675.0,584.0,-0.0186,0.6429,-0.1675,-0.2987,0,1,0,1,0,1,0,1,1,320.0,21.0,320.0,299.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.081,488.0,957.0,678.0,586.0,-0.0186,0.6429,-0.1675,-0.2987,0,0,0,1,0,1,0,1,1,253.0,21.0,253.0,232.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.101,486.0,954.0,676.0,584.0,-0.0248,0.6389,-0.1723,-0.3054,0,0,0,1,0,1,0,1,1,321.0,22.0,321.0,299.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.121,486.0,955.0,676.0,585.0,-0.0248,0.6409,-0.1723,-0.302,0,0,0,1,0,1,0,1,1,320.0,21.0,320.0,299.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.142,485.0,951.0,673.0,581.0,-0.0248,0.6389,-0.1723,-0.3054,0,0,0,1,0,1,0,1,1,336.0,21.0,336.0,315.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.162,487.0,960.0,677.0,586.0,-0.0248,0.6409,-0.1723,-0.302,0,0,0,1,0,1,0,1,1,334.0,21.0,334.0,313.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.182,488.0,956.0,677.0,586.0,-0.0217,0.6429,-0.1699,-0.2987,0,0,0,1,0,1,0,1,1,318.0,21.0,318.0,297.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.202,486.0,958.0,676.0,585.0,-0.0217,0.6468,-0.1699,-0.2987,0,0,0,1,0,1,0,1,1,320.0,22.0,320.0,298.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.222,490.0,961.0,680.0,588.0,-0.0186,0.6468,-0.1699,-0.2987,0,0,0,1,0,1,0,1,1,270.0,20.0,270.0,250.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.242,490.0,960.0,681.0,589.0,-0.0124,0.6508,-0.1626,-0.2919,0,0,0,1,0,1,0,1,1,320.0,22.0,320.0,298.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.262,487.0,954.0,678.0,584.0,-0.0124,0.6508,-0.1626,-0.2919,0,0,0,1,0,1,0,1,1,303.0,24.0,303.0,279.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.282,491.0,959.0,684.0,586.0,-0.0124,0.6488,-0.1602,-0.2987,0,0,0,1,0,1,0,1,1,368.0,21.0,368.0,347.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.303,491.0,960.0,681.0,585.0,-0.0093,0.6488,-0.1602,-0.302,0,0,0,1,0,1,0,1,1,336.0,21.0,336.0,315.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.323,486.0,954.0,679.0,583.0,-0.0093,0.6488,-0.1602,-0.302,0,0,0,1,0,1,0,1,1,336.0,21.0,336.0,315.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.343,485.0,962.0,685.0,584.0,-0.0248,0.6508,-0.1602,-0.3054,0,0,0,1,0,1,0,1,1,361.0,22.0,361.0,339.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.364,483.0,961.0,693.0,586.0,-0.0279,0.6528,-0.1505,-0.3054,0,0,0,1,0,1,0,1,1,286.0,21.0,286.0,265.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.384,479.0,960.0,699.0,583.0,-0.0341,0.6528,-0.1311,-0.3054,0,0,0,1,0,1,0,1,1,287.0,20.0,287.0,267.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.404,478.0,961.0,705.0,579.0,-0.0464,0.6528,-0.1165,-0.3087,0,0,0,1,0,1,0,1,1,329.0,21.0,329.0,308.0,TURN_180,正后红外亮，转 180 度,600,-600,1
