t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,1218.0,2021.0,1012.0,1880.0,-0.1551,0.463,0.1337,-0.4238,0,0,1,0,0,0,0,0,1,-71.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,1218.0,2021.0,1013.0,1880.0,1.502,2.6645,1.5432,1.5386,0,0,1,0,0,0,0,0,1,466.0,WAIT,等待掉台触发,0,0,1
0.061,1220.0,2024.0,1015.0,1883.0,1.502,2.6645,1.546,1.5386,0,0,1,0,0,0,0,0,1,465.0,WAIT,等待掉台触发,0,0,1
0.081,1216.0,2018.0,1009.0,1876.0,1.502,2.6645,1.546,1.5386,0,0,1,0,0,0,0,0,1,632.0,WAIT,等待掉台触发,0,0,1
0.101,1217.0,2021.0,1011.0,1878.0,1.4993,2.6645,1.5404,1.5344,0,0,1,0,0,0,0,0,1,352.0,WAIT,等待掉台触发,0,0,1
0.121,1216.0,2019.0,1010.0,1877.0,1.4966,2.6601,1.5376,1.5324,0,0,1,0,0,0,0,0,1,417.0,WAIT,等待掉台触发,0,0,1
0.141,1216.0,2022.0,1012.0,1878.0,1.4966,2.6645,1.5404,1.5344,0,0,1,0,0,0,0,0,1,239.0,WAIT,等待掉台触发,0,0,1
0.161,1222.0,2029.0,1017.0,1886.0,1.4966,2.6667,1.5432,1.5344,0,0,1,0,0,0,0,0,1,466.0,WAIT,等待掉台触发,0,0,1
0.182,1219.0,2024.0,1015.0,1882.0,1.5048,2.671,1.5515,1.5428,0,0,1,0,0,0,0,0,1,540.0,WAIT,等待掉台触发,0,0,1
0.202,1218.0,2021.0,1012.0,1879.0,1.5048,2.671,1.5515,1.5428,0,0,1,0,0,0,0,0,1,480.0,WAIT,等待掉台触发,0,0,1
0.222,1219.0,2022.0,1012.0,1880.0,1.5048,2.6667,1.5432,1.5386,0,0,1,0,0,0,0,0,1,500.0,WAIT,等待掉台触发,0,0,1
0.242,1220.0,2026.0,1015.0,1884.0,1.5048,2.6667,1.5432,1.5386,0,0,1,0,0,0,0,0,1,582.0,WAIT,等待掉台触发,0,0,1
0.262,1221.0,2026.0,1016.0,1885.0,1.5075,2.6754,1.5515,1.547,0,0,1,0,0,0,0,0,1,-37.0,WAIT,等待掉台触发,0,0,1
0.282,1218.0,2021.0,1014.0,1881.0,1.5075,2.6754,1.5515,1.547,0,0,1,0,0,0,0,0,1,468.0,WAIT,等待掉台触发,0,0,1
0.302,1223.0,2029.0,1018.0,1886.0,1.5102,2.6754,1.5543,1.5491,0,0,1,0,0,0,0,0,1,675.0,WAIT,等待掉台触发,0,0,1
0.322,1220.0,2025.0,1015.0,1883.0,1.5075,2.6732,1.5515,1.5449,0,0,1,0,0,0,0,0,1,613.0,WAIT,等待掉台触发,0,0,1
0.342,1223.0,2029.0,1015.0,1883.0,1.5156,2.6819,1.5515,1.5449,0,0,1,0,0,0,0,0,1,354.0,WAIT,等待掉台触发,0,0,1
0.363,1220.0,2025.0,1016.0,1882.0,1.5075,2.6732,1.5515,1.5449,0,0,1,0,0,0,0,0,1,355.0,WAIT,等待掉台触发,0,0,1
0.383,1221.0,2024.0,1014.0,1882.0,1.5102,2.6732,1.5515,1.5428,0,0,1,0,0,0,0,0,1,497.0,WAIT,等待掉台触发,0,0,1
