t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,537.0,729.0,374.0,1035.0,-1.0816,-0.9444,-0.7549,-1.3058,0,0,0,0,1,1,0,0,1,-9.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,538.0,731.0,374.0,1037.0,-0.351,-0.1503,-0.234,-0.2255,1,0,0,0,1,1,0,0,1,-7.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,537.0,730.0,373.0,1036.0,-0.351,-0.1481,-0.234,-0.2234,1,0,0,0,1,1,0,0,1,-7.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,536.0,728.0,372.0,1034.0,-0.351,-0.1481,-0.2368,-0.2234,1,1,0,0,1,1,0,0,1,41.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.101,536.0,729.0,373.0,1034.0,-0.3537,-0.1503,-0.2368,-0.2276,1,0,0,0,1,1,0,0,1,-8.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.121,538.0,731.0,374.0,1037.0,-0.3537,-0.1503,-0.2368,-0.2276,1,0,0,0,1,1,0,0,1,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.141,538.0,731.0,374.0,1038.0,-0.3483,-0.146,-0.234,-0.2213,1,0,0,0,1,1,0,0,1,45.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.161,539.0,732.0,375.0,1039.0,-0.3483,-0.146,-0.234,-0.2192,1,0,0,0,1,1,0,0,1,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.181,538.0,731.0,374.0,1038.0,-0.3483,-0.146,-0.234,-0.2192,1,0,0,0,1,1,0,0,1,-7.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.201,537.0,731.0,374.0,1036.0,-0.3483,-0.146,-0.234,-0.2192,1,0,0,0,1,1,0,0,1,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.222,538.0,731.0,375.0,1037.0,-0.3483,-0.146,-0.234,-0.2213,1,0,0,0,1,1,0,0,1,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.242,539.0,731.0,374.0,1038.0,-0.3483,-0.146,-0.234,-0.2213,1,0,0,0,1,1,0,0,1,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.262,536.0,727.0,371.0,1034.0,-0.3483,-0.146,-0.234,-0.2213,1,0,0,0,1,1,0,0,1,17.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
