t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.021,557.0,759.0,367.0,1055.0,-1.0544,-0.9118,-0.7646,-1.285,0,0,0,0,1,1,0,0,1,16.0,35.0,35.0,-19.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,557.0,760.0,367.0,1054.0,-0.2966,-0.085,-0.2535,-0.1858,1,0,0,0,1,1,0,0,1,21.0,34.0,34.0,-13.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.061,559.0,761.0,368.0,1057.0,-0.2966,-0.0828,-0.2535,-0.1837,1,0,0,0,1,1,0,0,1,16.0,21.0,21.0,-5.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.081,557.0,760.0,367.0,1056.0,-0.2966,-0.0828,-0.2535,-0.1816,1,1,0,0,1,1,0,0,1,16.0,21.0,21.0,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.101,559.0,762.0,370.0,1057.0,-0.2912,-0.0806,-0.2507,-0.1795,1,0,0,0,1,1,0,0,1,16.0,20.0,20.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.121,558.0,759.0,367.0,1056.0,-0.2939,-0.0828,-0.2535,-0.1816,1,0,0,0,1,1,0,0,1,16.0,22.0,22.0,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.141,558.0,760.0,368.0,1056.0,-0.2939,-0.0828,-0.2507,-0.1816,1,0,0,0,1,1,0,0,1,17.0,22.0,22.0,-5.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.161,559.0,761.0,369.0,1058.0,-0.2939,-0.0828,-0.2507,-0.1816,1,0,0,0,1,1,0,0,1,16.0,22.0,22.0,-6.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
0.181,560.0,762.0,370.0,1059.0,-0.2912,-0.0806,-0.2479,-0.1775,1,0,0,0,1,1,0,0,1,16.0,20.0,20.0,-4.0,TURN_LEFT_90,左侧红外亮，左转 90 度,-500,500,1
