t,left,right,valid
4.002,1798.0,1772.0,1
4.022,1786.0,1771.0,1
4.042,1798.0,1772.0,1
4.062,1769.0,1765.0,1
4.082,1784.0,1754.0,1
4.102,1783.0,1757.0,1
4.122,1781.0,1757.0,1
4.142,1768.0,1753.0,1
4.162,1769.0,1770.0,1
4.183,1803.0,1773.0,1
4.203,1783.0,1772.0,1
4.223,1798.0,1771.0,1
4.243,1798.0,1771.0,1
4.263,1782.0,1772.0,1
4.283,1782.0,1757.0,1
4.304,1784.0,1766.0,1
4.324,1784.0,1757.0,1
4.344,1796.0,1772.0,1
4.364,1797.0,1740.0,1
4.384,1784.0,1770.0,1
4.404,1799.0,1757.0,1
4.424,1767.0,1757.0,1
4.444,1783.0,1756.0,1
4.465,1755.0,1756.0,1
4.485,1791.0,1758.0,1
4.505,1796.0,1771.0,1
4.525,1769.0,1756.0,1
4.545,1799.0,1771.0,1
4.565,1804.0,1758.0,1
4.585,1798.0,1772.0,1
4.605,1798.0,1752.0,1
4.625,1784.0,1772.0,1
4.646,1802.0,1758.0,1
4.666,1783.0,1753.0,1
4.686,1786.0,1770.0,1
4.706,1784.0,1757.0,1
4.726,1800.0,1754.0,1
4.746,1781.0,1755.0,1
4.766,1784.0,1757.0,1
4.786,1799.0,1773.0,1
4.806,1783.0,1756.0,1
4.827,1798.0,1756.0,1
4.847,1769.0,1756.0,1
4.867,1784.0,1758.0,1
4.887,1783.0,1765.0,1
4.908,1769.0,1755.0,1
4.928,1785.0,1744.0,1
4.948,1797.0,1742.0,1
4.968,1784.0,1786.0,1
4.988,1799.0,1757.0,1
5.008,1800.0,1758.0,1
5.029,1797.0,1772.0,1
5.049,1782.0,1768.0,1
5.069,1784.0,1772.0,1
5.089,1788.0,1758.0,1
5.109,1783.0,1754.0,1
5.129,1798.0,1756.0,1
5.149,1784.0,1757.0,1
5.169,1788.0,1754.0,1
5.189,1783.0,1756.0,1
5.21,1799.0,1772.0,1
5.23,1798.0,1757.0,1
5.25,1788.0,1755.0,1
5.27,1796.0,1756.0,1
5.29,1799.0,1757.0,1
5.31,1769.0,1773.0,1
5.33,1812.0,1756.0,1
5.35,1782.0,1753.0,1
5.37,1799.0,1757.0,1
5.391,1784.0,1758.0,1
5.411,1784.0,1773.0,1
5.431,1784.0,1757.0,1
5.451,1798.0,1772.0,1
5.471,1798.0,1757.0,1
5.491,1798.0,1754.0,1
5.511,1783.0,1757.0,1
5.531,1785.0,1758.0,1
5.551,1797.0,1770.0,1
5.572,1782.0,1756.0,1
5.592,1787.0,1773.0,1
5.612,1799.0,1757.0,1
5.632,1797.0,1755.0,1
5.652,1784.0,1756.0,1
5.672,1785.0,1744.0,1
5.692,1784.0,1756.0,1
5.712,1782.0,1756.0,1
5.732,1797.0,1757.0,1
5.752,1784.0,1758.0,1
5.772,1813.0,1757.0,1
5.793,1795.0,1763.0,1
5.813,1784.0,1758.0,1
5.833,1799.0,1758.0,1
5.853,1800.0,1772.0,1
5.873,1804.0,1753.0,1
5.893,1798.0,1758.0,1
5.913,1798.0,1758.0,1
