t,left,right,diff,valid
3.542,594.0,87.0,507.0,1
3.562,610.0,305.0,305.0,1
3.583,531.0,304.0,227.0,1
3.603,531.0,288.0,243.0,1
3.623,511.0,321.0,190.0,1
3.643,579.0,289.0,290.0,1
3.663,627.0,304.0,323.0,1
3.683,595.0,304.0,291.0,1
3.703,512.0,304.0,208.0,1
3.723,529.0,255.0,274.0,1
3.743,502.0,289.0,213.0,1
3.763,611.0,306.0,305.0,1
3.784,594.0,304.0,290.0,1
3.804,662.0,617.0,45.0,1
3.824,530.0,302.0,228.0,1
3.844,512.0,287.0,225.0,1
3.864,531.0,305.0,226.0,1
3.884,577.0,306.0,271.0,1
3.904,595.0,316.0,279.0,1
3.924,612.0,633.0,-21.0,1
3.944,578.0,304.0,274.0,1
3.965,530.0,272.0,258.0,1
3.985,530.0,305.0,225.0,1
4.005,547.0,304.0,243.0,1
4.025,595.0,256.0,339.0,1
4.045,595.0,304.0,291.0,1
4.065,531.0,304.0,227.0,1
4.085,530.0,306.0,224.0,1
4.105,532.0,306.0,226.0,1
4.125,594.0,239.0,355.0,1
4.145,611.0,304.0,307.0,1
4.166,642.0,319.0,323.0,1
4.186,529.0,304.0,225.0,1
4.206,532.0,633.0,-101.0,1
4.226,531.0,257.0,274.0,1
4.246,564.0,336.0,228.0,1
4.266,611.0,303.0,308.0,1
4.286,595.0,306.0,289.0,1
4.306,565.0,324.0,241.0,1
4.326,532.0,242.0,290.0,1
4.347,595.0,305.0,290.0,1
4.367,537.0,305.0,232.0,1
4.387,597.0,257.0,340.0,1
4.407,597.0,307.0,290.0,1
4.427,496.0,241.0,255.0,1
4.447,534.0,307.0,227.0,1
4.467,533.0,305.0,228.0,1
4.487,597.0,273.0,324.0,1
4.507,597.0,308.0,289.0,1
4.527,613.0,242.0,371.0,1
4.548,596.0,307.0,289.0,1
4.568,534.0,323.0,211.0,1
4.588,533.0,260.0,273.0,1
4.608,533.0,305.0,228.0,1
4.628,611.0,258.0,353.0,1
4.648,613.0,307.0,306.0,1
4.668,596.0,306.0,290.0,1
4.688,532.0,257.0,275.0,1
4.708,565.0,306.0,259.0,1
4.728,534.0,243.0,291.0,1
4.748,579.0,306.0,273.0,1
4.769,596.0,304.0,292.0,1
4.789,598.0,239.0,359.0,1
4.809,514.0,305.0,209.0,1
4.829,532.0,305.0,227.0,1
4.849,564.0,291.0,273.0,1
4.869,614.0,305.0,309.0,1
4.889,595.0,272.0,323.0,1
4.909,595.0,304.0,291.0,1
4.929,496.0,304.0,192.0,1
4.949,532.0,305.0,227.0,1
4.969,563.0,305.0,258.0,1
4.99,563.0,305.0,258.0,1
5.01,611.0,303.0,308.0,1
5.03,596.0,303.0,293.0,1
5.05,511.0,88.0,423.0,1
5.07,531.0,306.0,225.0,1
5.09,529.0,305.0,224.0,1
5.11,596.0,306.0,290.0,1
5.13,615.0,306.0,309.0,1
5.15,562.0,289.0,273.0,1
5.17,532.0,305.0,227.0,1
5.19,534.0,308.0,226.0,1
5.21,547.0,305.0,242.0,1
5.231,578.0,304.0,274.0,1
5.251,594.0,288.0,306.0,1
5.271,594.0,304.0,290.0,1
5.291,531.0,304.0,227.0,1
5.311,530.0,305.0,225.0,1
5.331,594.0,304.0,290.0,1
5.351,530.0,303.0,227.0,1
5.371,610.0,321.0,289.0,1
5.391,595.0,305.0,290.0,1
5.412,494.0,257.0,237.0,1
5.432,531.0,317.0,214.0,1
5.452,530.0,305.0,225.0,1
5.472,611.0,260.0,351.0,1
5.492,611.0,304.0,307.0,1
