t,label,measured_distance_cm,sequence,vision_timestamp_ms,received_age_ms,vision_valid,vision_status,vision_error,frame_width,frame_height,action,fps,inference_ms,detection_count,detection_index,selected_target,class_id,target_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_area,bbox_area_ratio,center_x,center_y,offset_x,offset_y,model_distance_cm,sensor_valid,sensor_error,io_mask,avoid_state,avoid_reason,bad_offset_x,bad_bbox_area_ratio,left_cmd,right_cmd,motor_enabled,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8,adc9,io0,io1,io2,io3,io4,io5,io6,io7
0.007636,bad_left_far,,,,,0,no_data_or_stale,,,,search,,,0,,,,,,,,,,,,,,,,,,,1,,238,VISION_STOP,no_data_or_stale,,,0,0,1,1267,1204,928,1308,227,1037,1287,1380,10,10,0,1,1,1,0,1,1,1
1.738093,bad_left_far,,1,1786864187781,5.84357299999283,1,target,,640,480,scan_with_ir,3.278647,207.33949,1,0,1,1,bad,0.960284,181,293,439,479,258.0,186.0,47988.0,0.1562109375,310,386,-0.03125,0.608333,,1,,238,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.03125,0.1562109375,400,-400,1,1249,1184,910,1289,604,1038,1288,1377,10,10,0,1,1,1,0,1,1,1
1.939802,bad_left_far,,2,1786864187983,5.234234999988985,1,target,,640,480,scan_with_ir,3.94038,199.908915,1,0,1,1,bad,0.962507,179,302,442,479,263.0,177.0,46551.0,0.151533203125,311,391,-0.028125,0.629167,,1,,238,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.151533203125,400,-400,1,1242,1179,906,1281,110,1022,1287,1380,10,10,0,1,1,1,0,1,1,1
2.162232,bad_left_far,,3,1786864188199,12.375185999871974,1,target,,640,480,scan_with_ir,4.149946,212.852532,1,0,1,1,bad,0.964965,181,293,439,479,258.0,186.0,47988.0,0.1562109375,310,386,-0.03125,0.608333,,1,,238,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.03125,0.1562109375,400,-400,1,1230,1196,918,1253,557,1024,21,1299,10,10,0,1,1,1,0,1,1,1
2.343581,bad_left_far,,4,1786864188378,14.081981000117594,1,target,,640,480,scan_with_ir,4.431902,173.496468,1,0,1,1,bad,0.954952,142,291,401,478,259.0,187.0,48433.0,0.15765950520833333,272,385,-0.15,0.604167,,1,,238,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.15,0.15765950520833333,400,-400,1,1212,1185,935,1234,110,952,649,1161,9,10,0,1,1,1,0,1,1,1
2.505198,bad_left_far,,5,1786864188552,1.815904000068258,1,target,,640,480,scan_with_ir,4.644987,167.101277,1,0,1,1,bad,0.9338,82,287,337,479,255.0,192.0,48960.0,0.159375,210,383,-0.34375,0.595833,,1,,255,AVOID_ARC_RIGHT,bad 位于侧方，差速前进绕开,-0.34375,0.159375,500,400,1,1176,1174,940,1226,457,940,484,986,7,10,1,1,1,1,1,1,1,1
2.746678,bad_left_far,,6,1786864188780,15.465856999981042,1,target,,640,480,scan_with_ir,4.600269,221.668334,1,0,1,1,bad,0.915433,24,284,257,479,233.0,195.0,45435.0,0.147900390625,141,382,-0.559375,0.591667,,1,,255,AVOID_ARC_RIGHT,bad 位于侧方，差速前进绕开,-0.559375,0.147900390625,500,400,1,1193,1089,979,1259,327,1085,22,105,2,11,1,1,1,1,1,1,1,1
2.928076,bad_left_far,,7,1786864188970,6.9716769999104145,1,no_target,,640,480,search,4.684801,182.975645,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1244,1292,1044,1313,23,924,142,17,2,10,1,1,1,0,1,1,1,1
3.130494,bad_left_far,,8,1786864189177,1.967549000028157,1,no_target,,640,480,search,4.70139,204.861913,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1283,1330,1139,1386,771,940,21,18,2,10,1,1,1,0,1,1,1,1
3.313769,bad_left_far,,9,1786864189355,7.756771000003937,1,no_target,,640,480,search,4.78938,175.279909,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1301,1343,1152,1402,426,973,21,17,2,10,1,1,1,0,1,1,1,1
3.495268,bad_left_far,,10,1786864189532,12.503682999977173,1,no_target,,640,480,search,4.864184,174.229673,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1287,1331,1141,1386,26,984,21,17,1,10,1,1,1,0,1,1,1,1
3.677144,bad_left_far,,11,1786864189709,17.49401500001113,1,no_target,,640,480,search,4.926583,174.507999,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1301,1344,1152,1401,420,971,21,17,2,11,1,1,1,0,1,1,1,1
3.858419,bad_left_far,,12,1786864189893,14.066776999925423,1,no_target,,640,480,search,4.963933,182.173977,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1296,1341,1150,1398,23,972,21,44,2,10,1,1,1,0,1,1,1,1
4.059985,bad_left_far,,13,1786864190106,3.3214809998298733,1,no_target,,640,480,search,4.943417,209.817746,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1293,1339,1147,1394,377,971,142,155,3,10,1,1,1,0,1,1,1,1
4.222114,bad_left_far,,14,1786864190269,1.967604000128631,1,no_target,,640,480,search,5.012086,161.220926,0,,,,,,,,,,,,,,,,,,,1,,247,CLEAR,没有检测到 bad 能量块,,,0,0,1,1296,1339,1147,1395,33,971,21,17,2,10,1,1,1,0,1,1,1,1
