t,left,right,valid
4.0,1216.0,1290.0,1
4.02,1217.0,1300.0,1
4.04,1218.0,1291.0,1
4.06,1218.0,1290.0,1
4.08,1214.0,1291.0,1
4.1,1216.0,1302.0,1
4.12,1218.0,1286.0,1
4.141,1218.0,1290.0,1
4.161,1217.0,1290.0,1
4.181,1224.0,1287.0,1
4.201,1218.0,1289.0,1
4.221,1218.0,1290.0,1
4.241,1223.0,1288.0,1
4.261,1218.0,1288.0,1
4.281,1218.0,1290.0,1
4.301,1218.0,1290.0,1
4.321,1222.0,1288.0,1
4.342,1218.0,1294.0,1
4.362,1218.0,1290.0,1
4.382,1217.0,1291.0,1
4.402,1220.0,1301.0,1
4.422,1218.0,1289.0,1
4.442,1219.0,1291.0,1
4.462,1217.0,1289.0,1
4.482,1217.0,1286.0,1
4.502,1218.0,1290.0,1
4.523,1219.0,1290.0,1
4.543,1217.0,1286.0,1
4.563,1218.0,1288.0,1
4.583,1218.0,1289.0,1
4.603,1217.0,1290.0,1
4.623,1217.0,1288.0,1
4.643,1218.0,1289.0,1
4.663,1218.0,1290.0,1
4.683,1216.0,1288.0,1
4.704,1217.0,1289.0,1
4.724,1217.0,1290.0,1
4.744,1218.0,1291.0,1
4.764,1216.0,1289.0,1
4.784,1217.0,1305.0,1
4.804,1218.0,1290.0,1
4.824,1218.0,1289.0,1
4.844,1216.0,1306.0,1
4.864,1217.0,1287.0,1
4.885,1218.0,1290.0,1
4.905,1218.0,1291.0,1
4.925,1224.0,1285.0,1
4.945,1219.0,1290.0,1
4.965,1218.0,1291.0,1
4.985,1218.0,1287.0,1
5.005,1224.0,1288.0,1
5.025,1218.0,1290.0,1
5.045,1219.0,1290.0,1
5.066,1218.0,1289.0,1
5.086,1224.0,1289.0,1
5.106,1219.0,1290.0,1
5.126,1218.0,1291.0,1
5.146,1217.0,1289.0,1
5.166,1224.0,1289.0,1
5.186,1219.0,1290.0,1
5.206,1218.0,1290.0,1
5.226,1218.0,1285.0,1
5.247,1218.0,1290.0,1
5.267,1218.0,1290.0,1
5.287,1217.0,1287.0,1
5.307,1217.0,1288.0,1
5.327,1218.0,1290.0,1
5.347,1219.0,1305.0,1
5.367,1217.0,1288.0,1
5.387,1218.0,1289.0,1
5.407,1218.0,1290.0,1
5.428,1219.0,1289.0,1
5.448,1217.0,1289.0,1
5.468,1218.0,1290.0,1
5.488,1218.0,1290.0,1
5.508,1219.0,1290.0,1
5.528,1217.0,1287.0,1
5.548,1217.0,1291.0,1
5.568,1218.0,1291.0,1
5.589,1216.0,1286.0,1
5.609,1217.0,1288.0,1
5.629,1218.0,1290.0,1
5.649,1218.0,1287.0,1
5.669,1216.0,1288.0,1
5.689,1217.0,1290.0,1
5.709,1218.0,1291.0,1
5.729,1218.0,1289.0,1
5.749,1216.0,1289.0,1
5.77,1217.0,1290.0,1
5.79,1219.0,1291.0,1
5.81,1218.0,1289.0,1
5.83,1216.0,1286.0,1
5.85,1217.0,1290.0,1
