t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,fall,fall_edge,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,adc_left,adc_right,adc_signal_raw,diff,state,reason,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.5294,-1.254,-1.8131,-2.2651,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,SENSOR_STOP,传感器无效或数据过期,0,0,0
0.02,500.0,836.0,669.0,591.0,-0.7554,-0.4246,-1.0012,-1.2735,0,0,0,1,0,1,0,1,1,301.0,17.0,301.0,284.0,SENSOR_STOP,传感器无效或数据过期,0,0,1
0.041,499.0,836.0,668.0,590.0,0.0155,0.4048,-0.1917,-0.2852,0,0,0,1,0,1,0,1,1,270.0,18.0,270.0,252.0,WAIT,等待掉台触发,0,0,1
0.061,498.0,833.0,666.0,588.0,0.0155,0.4048,-0.1917,-0.2852,0,1,0,1,0,1,0,1,1,302.0,18.0,302.0,284.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.081,499.0,836.0,669.0,590.0,0.0155,0.4048,-0.1917,-0.2852,0,0,0,1,0,1,0,1,1,204.0,19.0,204.0,185.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.101,498.0,834.0,667.0,589.0,0.0124,0.4008,-0.1942,-0.2886,0,0,0,1,0,1,0,1,1,286.0,18.0,286.0,268.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.121,499.0,836.0,668.0,589.0,0.0155,0.4048,-0.1917,-0.2886,0,0,0,1,0,1,0,1,1,287.0,18.0,287.0,269.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.142,499.0,836.0,668.0,590.0,0.0155,0.4048,-0.1917,-0.2886,0,0,0,1,0,1,0,1,1,302.0,18.0,302.0,284.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.162,500.0,839.0,669.0,592.0,0.0155,0.4048,-0.1917,-0.2852,0,0,0,1,0,1,0,1,1,302.0,18.0,302.0,284.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.182,497.0,833.0,665.0,587.0,0.0155,0.4048,-0.1917,-0.2852,0,0,0,1,0,1,0,1,1,305.0,18.0,305.0,287.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.202,497.0,834.0,666.0,588.0,0.0093,0.4008,-0.1966,-0.2919,0,0,1,1,0,1,0,1,1,303.0,18.0,303.0,285.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.222,495.0,830.0,663.0,586.0,0.0093,0.3988,-0.199,-0.2953,0,0,0,1,0,1,0,1,1,155.0,17.0,155.0,138.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.242,495.0,831.0,665.0,587.0,0.0031,0.3948,-0.199,-0.2953,0,0,0,1,0,1,0,1,1,305.0,18.0,305.0,287.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.262,494.0,832.0,669.0,588.0,0.0031,0.3948,-0.199,-0.2953,0,0,0,1,0,1,0,1,1,303.0,18.0,303.0,285.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.282,493.0,834.0,683.0,592.0,0.0,0.3968,-0.1893,-0.2919,0,0,1,1,0,1,0,1,1,320.0,18.0,320.0,302.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.302,492.0,823.0,690.0,600.0,-0.0031,0.3968,-0.1553,-0.2785,0,0,0,1,0,1,0,1,1,335.0,17.0,335.0,318.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.323,487.0,811.0,694.0,600.0,-0.0062,0.379,-0.1383,-0.2517,0,0,0,1,0,1,0,1,1,302.0,23.0,302.0,279.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.343,487.0,810.0,699.0,605.0,-0.0217,0.3552,-0.1286,-0.2517,0,0,0,1,0,1,0,1,1,288.0,19.0,288.0,269.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.363,487.0,809.0,702.0,601.0,-0.0217,0.3532,-0.1165,-0.2483,0,0,0,1,0,1,0,1,1,304.0,19.0,304.0,285.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.383,484.0,802.0,701.0,593.0,-0.0217,0.3512,-0.1117,-0.2483,0,0,0,1,0,1,0,1,1,284.0,20.0,284.0,264.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.403,485.0,809.0,701.0,591.0,-0.0279,0.3512,-0.1117,-0.2752,0,0,0,1,0,1,0,1,1,285.0,21.0,285.0,264.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.423,483.0,814.0,705.0,591.0,-0.031,0.3512,-0.1117,-0.2819,0,0,0,1,0,0,0,1,1,303.0,21.0,303.0,282.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.443,477.0,817.0,708.0,586.0,-0.0341,0.3611,-0.1019,-0.2819,0,0,0,1,0,0,0,1,1,288.0,20.0,288.0,268.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.463,471.0,819.0,710.0,577.0,-0.0526,0.3671,-0.0947,-0.2987,0,0,0,1,0,0,0,1,1,301.0,21.0,301.0,280.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.483,477.0,823.0,717.0,561.0,-0.0526,0.371,-0.0898,-0.3289,0,0,0,1,0,0,0,1,1,301.0,22.0,301.0,279.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.503,484.0,817.0,709.0,553.0,-0.0526,0.371,-0.0898,-0.3826,0,0,0,1,0,0,0,1,1,303.0,22.0,303.0,281.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.524,482.0,809.0,716.0,561.0,-0.0372,0.3671,-0.0752,-0.3826,0,0,0,1,0,0,0,1,1,238.0,20.0,238.0,218.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.544,477.0,804.0,725.0,582.0,-0.0372,0.3512,-0.0752,-0.3826,0,0,0,1,0,0,0,1,1,254.0,20.0,254.0,234.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.565,469.0,805.0,721.0,592.0,-0.0526,0.3433,-0.0631,-0.3121,0,0,0,1,0,0,0,1,1,270.0,18.0,270.0,252.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.585,469.0,805.0,721.0,592.0,-0.0774,0.3433,-0.0631,-0.2785,0,0,0,1,0,0,0,1,1,270.0,18.0,270.0,252.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.605,464.0,809.0,725.0,593.0,-0.0774,0.3433,-0.0631,-0.2785,0,0,0,1,0,0,0,1,1,122.0,17.0,122.0,105.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.625,469.0,808.0,739.0,586.0,-0.0774,0.3492,-0.0534,-0.2785,0,0,0,1,0,0,0,1,1,547.0,21.0,547.0,526.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.646,470.0,813.0,747.0,580.0,-0.0774,0.3512,-0.0194,-0.2987,0,0,0,1,0,0,0,1,1,170.0,20.0,170.0,150.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.666,470.0,816.0,741.0,587.0,-0.0743,0.3591,-0.0146,-0.2987,0,0,0,1,0,0,0,1,1,186.0,19.0,186.0,167.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.686,468.0,813.0,732.0,601.0,-0.0743,0.3591,-0.0146,-0.2953,0,0,0,1,0,0,0,1,1,171.0,24.0,171.0,147.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.706,464.0,801.0,722.0,610.0,-0.0805,0.3591,-0.0364,-0.2483,0,0,0,0,0,0,0,1,1,122.0,18.0,122.0,104.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.726,462.0,790.0,717.0,609.0,-0.0929,0.3353,-0.0607,-0.2215,0,0,0,0,0,0,0,1,1,17.0,22.0,22.0,-5.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.746,462.0,781.0,715.0,602.0,-0.0991,0.3135,-0.0728,-0.2215,0,0,0,0,0,0,0,1,1,29.0,22.0,29.0,7.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.766,458.0,781.0,732.0,589.0,-0.0991,0.2956,-0.0728,-0.245,0,0,0,0,0,0,1,1,1,18.0,27.0,27.0,-9.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.787,457.0,792.0,749.0,581.0,-0.1115,0.2956,-0.0364,-0.2886,0,0,0,0,0,0,1,1,1,36.0,20.0,36.0,16.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.807,453.0,803.0,711.0,581.0,-0.1146,0.3175,-0.0364,-0.3154,0,0,0,0,0,0,1,1,1,29.0,19.0,29.0,10.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.827,452.0,812.0,689.0,576.0,-0.1269,0.3393,-0.0874,-0.3154,0,0,0,0,0,0,1,1,1,28.0,19.0,28.0,9.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.847,451.0,821.0,719.0,554.0,-0.13,0.3571,-0.0874,-0.3322,0,0,0,0,0,0,1,1,1,18.0,18.0,18.0,0.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.868,452.0,824.0,708.0,520.0,-0.13,0.375,-0.0947,-0.406,0,0,0,0,0,0,1,1,1,89.0,23.0,89.0,66.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.888,458.0,817.0,707.0,494.0,-0.13,0.375,-0.0947,-0.5201,0,0,0,0,0,0,1,1,1,72.0,27.0,72.0,45.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.908,465.0,810.0,732.0,499.0,-0.1115,0.3671,-0.0947,-0.5906,0,0,0,0,0,0,1,1,1,89.0,46.0,89.0,43.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.928,466.0,805.0,731.0,516.0,-0.0898,0.3532,-0.0388,-0.5906,0,0,0,0,0,0,1,1,1,57.0,22.0,57.0,35.0,TURN_180,正后红外亮，转 180 度,600,-600,1
0.949,466.0,802.0,715.0,540.0,-0.0867,0.3433,-0.0388,-0.5336,0,0,0,0,0,0,1,1,1,57.0,31.0,57.0,26.0,TURN_180,正后红外亮，转 180 度,600,-600,1
