t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.5294,-1.254,-1.8131,-2.2651,-1.6713,,SENSOR_STOP,传感器无效或数据过期,,-0.2754,0.452,1,stop,0.0,,0.0,0,0,0
0.02,609.0,1022.0,1002.0,909.0,-0.5867,-0.2401,-0.5971,-0.7399,-0.5919,,WARMUP,等待滤波窗口,,-0.3466,0.1428,1,stop,0.0,,0.0,0,0,1
0.04,609.0,1021.0,1002.0,909.0,0.356,0.7718,0.6189,0.7852,0.6954,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4158,-0.1663,0,slow,0.0,,0.0,-400,-400,1
0.061,619.0,1042.0,1018.0,927.0,0.356,0.7738,0.6189,0.7852,0.6964,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4178,-0.1663,0,slow,0.0,,0.0,-400,-400,1
0.081,608.0,1020.0,1000.0,909.0,0.356,0.7718,0.6189,0.7852,0.6954,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4158,-0.1663,0,slow,0.0,,0.0,-400,-400,1
0.101,609.0,1024.0,1003.0,911.0,0.356,0.7778,0.6214,0.7919,0.6996,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4217,-0.1706,0,slow,0.0,,0.0,-400,-400,1
0.121,610.0,1022.0,1002.0,910.0,0.356,0.7738,0.6189,0.7886,0.6964,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4178,-0.1697,0,slow,0.0,,0.0,-400,-400,1
0.141,608.0,1022.0,1002.0,910.0,0.356,0.7738,0.6189,0.7886,0.6964,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4178,-0.1697,0,slow,0.0,,0.0,-400,-400,1
0.161,608.0,1020.0,1001.0,908.0,0.3529,0.7738,0.6189,0.7886,0.6964,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4209,-0.1697,0,slow,0.0,,0.0,-400,-400,1
0.181,610.0,1024.0,1005.0,912.0,0.3529,0.7738,0.6189,0.7886,0.6964,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4209,-0.1697,0,slow,0.0,,0.0,-400,-400,1
0.201,609.0,1022.0,1003.0,912.0,0.356,0.7738,0.6214,0.7953,0.6976,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4178,-0.1739,0,slow,0.0,,0.0,-400,-400,1
0.221,608.0,1022.0,1001.0,909.0,0.356,0.7738,0.6214,0.7953,0.6976,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4178,-0.1739,0,slow,0.0,,0.0,-400,-400,1
0.241,609.0,1021.0,1001.0,907.0,0.356,0.7738,0.6165,0.7852,0.6952,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4178,-0.1687,0,slow,0.0,,0.0,-400,-400,1
0.261,611.0,1021.0,1000.0,909.0,0.356,0.7718,0.6165,0.7852,0.6942,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4158,-0.1687,0,slow,0.0,,0.0,-400,-400,1
0.282,614.0,1021.0,1007.0,912.0,0.3622,0.7718,0.6165,0.7852,0.6942,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4096,-0.1687,0,slow,0.0,,0.0,-400,-400,1
0.302,620.0,1026.0,1019.0,920.0,0.3715,0.7718,0.6311,0.7953,0.7014,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4003,-0.1642,0,slow,0.0,,0.0,-400,-400,1
0.322,619.0,1032.0,1018.0,924.0,0.387,0.7817,0.6578,0.8221,0.7198,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.3947,-0.1644,0,slow,0.0,,0.0,-400,-400,1
0.342,621.0,1031.0,1022.0,925.0,0.3901,0.7917,0.6602,0.8356,0.7259,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4016,-0.1754,0,slow,0.0,,0.0,-400,-400,1
