t,left,right,valid
3.503,1358.0,1472.0,1
3.523,1357.0,1473.0,1
3.543,1357.0,1474.0,1
3.564,1357.0,1472.0,1
3.584,1356.0,1476.0,1
3.604,1358.0,1474.0,1
3.624,1341.0,1474.0,1
3.644,1356.0,1471.0,1
3.669,1344.0,1474.0,1
3.689,1356.0,1485.0,1
3.71,1357.0,1472.0,1
3.73,1358.0,1475.0,1
3.75,1359.0,1474.0,1
3.77,1364.0,1473.0,1
3.79,1357.0,1473.0,1
3.81,1360.0,1476.0,1
3.83,1360.0,1490.0,1
3.85,1344.0,1472.0,1
3.87,1358.0,1473.0,1
3.89,1358.0,1474.0,1
3.91,1358.0,1472.0,1
3.93,1358.0,1473.0,1
3.951,1358.0,1475.0,1
3.971,1360.0,1475.0,1
3.991,1341.0,1472.0,1
4.011,1357.0,1473.0,1
4.031,1358.0,1474.0,1
4.051,1358.0,1474.0,1
4.071,1357.0,1474.0,1
4.091,1356.0,1473.0,1
4.111,1344.0,1474.0,1
4.131,1359.0,1474.0,1
4.152,1356.0,1474.0,1
4.172,1357.0,1474.0,1
4.192,1359.0,1474.0,1
4.212,1358.0,1473.0,1
4.232,1357.0,1469.0,1
4.252,1357.0,1473.0,1
4.272,1358.0,1474.0,1
4.292,1358.0,1490.0,1
4.312,1357.0,1470.0,1
4.332,1357.0,1474.0,1
4.352,1344.0,1475.0,1
4.372,1357.0,1470.0,1
4.393,1356.0,1473.0,1
4.413,1357.0,1475.0,1
4.433,1360.0,1489.0,1
4.453,1356.0,1471.0,1
4.473,1357.0,1473.0,1
4.493,1357.0,1474.0,1
4.513,1357.0,1470.0,1
4.533,1356.0,1472.0,1
4.553,1356.0,1473.0,1
4.573,1358.0,1473.0,1
4.593,1359.0,1472.0,1
4.613,1358.0,1473.0,1
4.633,1343.0,1474.0,1
4.654,1358.0,1473.0,1
4.674,1358.0,1472.0,1
4.694,1357.0,1473.0,1
4.714,1357.0,1474.0,1
4.734,1359.0,1472.0,1
4.754,1358.0,1473.0,1
4.774,1357.0,1474.0,1
4.794,1357.0,1474.0,1
4.814,1344.0,1473.0,1
4.834,1357.0,1486.0,1
4.854,1357.0,1473.0,1
4.874,1358.0,1474.0,1
4.894,1342.0,1472.0,1
4.915,1356.0,1472.0,1
4.935,1357.0,1474.0,1
4.955,1358.0,1473.0,1
4.975,1344.0,1488.0,1
4.995,1357.0,1474.0,1
5.015,1357.0,1473.0,1
5.035,1358.0,1474.0,1
5.055,1358.0,1470.0,1
5.075,1357.0,1473.0,1
5.095,1357.0,1473.0,1
5.115,1358.0,1489.0,1
5.135,1357.0,1472.0,1
5.155,1357.0,1474.0,1
5.176,1357.0,1490.0,1
5.196,1358.0,1472.0,1
5.216,1356.0,1473.0,1
5.236,1356.0,1474.0,1
