t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,near_direction,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,enemy_bad_interrupt_count,vision_sequence,vision_status,vision_has_good,vision_has_bad,reason,left_cmd,right_cmd,healthy
0.024,847.0,1385.0,1076.0,968.0,1.0929,1.494,0.7985,0.9832,1.0381,1,0,0,0,0,0,1,955.0,160.0,893.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.044,844.0,1378.0,1076.0,968.0,1.0882,1.4871,0.7985,0.9832,1.0357,1,0,0,0,0,0,1,929.0,24.0,913.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.064,844.0,1378.0,1076.0,968.0,1.0836,1.4802,0.7985,0.9832,1.0334,1,0,0,0,0,0,1,929.0,24.0,913.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.084,844.0,1383.0,1076.0,968.0,1.0836,1.4851,0.7985,0.9832,1.0334,1,0,0,0,0,0,1,958.0,23.0,890.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.104,823.0,1344.0,1051.0,941.0,1.0836,1.4802,0.7985,0.9832,1.0334,1,0,0,0,0,0,1,957.0,23.0,893.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IR_UNCLASSIFIED,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,近物体已停车，等待新视觉帧排除 good/bad,0,0,1
0.125,823.0,1350.0,1052.0,945.0,1.0186,1.4246,0.7403,0.906,0.9623,1,0,0,0,0,0,1,943.0,37.0,893.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.145,836.0,1373.0,1068.0,962.0,1.0186,1.4246,0.7403,0.906,0.9623,1,0,0,0,0,0,1,944.0,194.0,891.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.165,827.0,1353.0,1056.0,948.0,1.031,1.4306,0.75,0.9161,0.9735,1,0,0,0,0,0,1,943.0,23.0,892.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.185,850.0,1394.0,1083.0,974.0,1.0588,1.4702,0.7791,0.9631,1.011,1,0,0,0,0,0,1,919.0,23.0,893.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.205,854.0,1396.0,1088.0,978.0,1.1022,1.5119,0.8155,1.0034,1.0528,1,0,0,0,0,0,1,943.0,246.0,891.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.225,858.0,1402.0,1092.0,984.0,1.1146,1.5159,0.8277,1.0168,1.0657,1,0,0,0,0,0,1,946.0,24.0,890.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.245,860.0,1405.0,1094.0,985.0,1.1269,1.5278,0.8374,1.0369,1.0819,1,0,0,0,0,0,1,989.0,27.0,892.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.265,861.0,1405.0,1094.0,986.0,1.1331,1.5337,0.8422,1.0403,1.0867,1,0,0,0,0,0,1,942.0,623.0,895.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
0.285,860.0,1403.0,1093.0,984.0,1.1331,1.5337,0.8422,1.0403,1.0867,1,0,0,0,0,0,1,958.0,23.0,892.0,1,0,0,proximity_probe,PROBE_VISION_WAIT,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,,,0,,PROBE_VISION_WAIT,front,,0,0,0,waiting,0,,stale,0,0,视觉无新结果，停车等待,0,0,1
