t,angle,direction,speed,duration,measured,result
5262.734,180.0,left,600,1.0,ignore,retry
5289.445,180.0,left,600,0.8,ignore,retry
5319.266,180.0,left,650,1.0,ignore,retry
5342.712,180.0,left,600,0.9,ignore,retry
5352.916,180.0,left,600,0.95,,fixed
5385.053,180.0,right,600,0.95,600 1,retry
5412.263,180.0,right,600,1.0,ignore,retry
5436.377,180.0,right,600,0.0925,ignore,retry
5460.77,180.0,right,600,0.925,ignore,retry
5495.978,180.0,right,600,0.975,,fixed
