t,sequence,vision_timestamp_ms,received_age_ms,valid,reason,frame_width,frame_height,action,target_type,confidence,center_x,center_y,offset_x,offset_y,distance_cm,dt,error_x_normalized,filtered_error,turn_command,state,left_cmd,right_cmd,motor_enabled
0.006511,,,,0,no_data_or_stale,,,search,,,,,,,,,,,0,VISION_STOP,0,0,1
1.495012,1,1786849556823,7.986,1,ok,640,480,push,good,0.941504,256,378,-0.2,0.575,,1.488501,-0.2,-0.2,-400,ALIGN_LEFT,-400,400,1
1.696635,2,1786849557015,17.939,1,ok,640,480,push,good,0.949646,254,378,-0.20625,0.575,,0.201623,-0.20625,-0.202813,-400,ALIGN_LEFT,-400,400,1
1.878718,3,1786849557209,5.565,1,ok,640,480,push,good,0.94848,254,378,-0.20625,0.575,,0.182083,-0.20625,-0.204359,-400,ALIGN_LEFT,-400,400,1
2.060514,4,1786849557380,16.231,1,ok,640,480,push,good,0.904601,272,376,-0.15,0.566667,,0.181796,-0.15,-0.179898,-400,ALIGN_LEFT,-400,400,1
2.223054,5,1786849557557,1.689,1,ok,640,480,push,good,0.947497,342,378,0.06875,0.575,,0.16254,0.06875,-0.068006,-400,ALIGN_LEFT,-400,400,1
2.686469,,,,0,no_data_or_stale,,,search,,,,,,,,0.463414,,,0,VISION_STOP,0,0,1
2.88768,6,1786849558205,18.365,1,ok,640,480,push,good,0.68786,427,380,0.334375,0.583333,,0.201211,0.334375,0.334375,400,ALIGN_RIGHT,400,-400,1
3.068847,7,1786849558390,14.476,1,ok,640,480,push,good,0.852935,528,383,0.65,0.595833,,0.181167,0.65,0.476406,400,ALIGN_RIGHT,400,-400,1
3.230366,8,1786849558563,3.152,1,ok,640,480,search,,,,,,,,0.161519,,,0,SEARCH,0,0,1
3.41265,9,1786849558741,8.023,1,ok,640,480,push,good,0.753483,615,384,0.921875,0.6,,0.182284,0.921875,0.921875,553,ALIGN_RIGHT,553,-553,1
3.596621,10,1786849558932,1.104,1,ok,640,480,push,good,0.955366,590,383,0.84375,0.595833,,0.183971,0.84375,0.886719,532,ALIGN_RIGHT,532,-532,1
3.798354,11,1786849559127,7.619,1,ok,640,480,push,good,0.953819,590,384,0.84375,0.6,,0.201733,0.84375,0.867383,520,ALIGN_RIGHT,520,-520,1
3.979664,12,1786849559299,16.571,1,ok,640,480,push,good,0.783661,561,384,0.753125,0.6,,0.18131,0.753125,0.815967,490,ALIGN_RIGHT,490,-490,1
4.161866,13,1786849559488,9.932,1,ok,640,480,search,,,,,,,,0.182202,,,0,SEARCH,0,0,1
4.343051,14,1786849559672,7.029,1,ok,640,480,search,,,,,,,,0.181185,,,0,SEARCH,0,0,1
4.525173,15,1786849559843,18.228,1,ok,640,480,search,,,,,,,,0.182122,,,0,SEARCH,0,0,1
4.726434,16,1786849560059,3.741,1,ok,640,480,search,,,,,,,,0.201261,,,0,SEARCH,0,0,1
4.907618,17,1786849560238,5.159,1,ok,640,480,search,,,,,,,,0.181184,,,0,SEARCH,0,0,1
5.068916,18,1786849560402,2.589,1,ok,640,480,search,,,,,,,,0.161298,,,0,SEARCH,0,0,1
5.270339,19,1786849560598,7.955,1,ok,640,480,search,,,,,,,,0.201423,,,0,SEARCH,0,0,1
5.453736,20,1786849560774,15.763,1,ok,640,480,search,,,,,,,,0.183397,,,0,SEARCH,0,0,1
5.615331,21,1786849560948,3.712,1,ok,640,480,search,,,,,,,,0.161595,,,0,SEARCH,0,0,1
5.777715,22,1786849561112,1.668,1,ok,640,480,search,,,,,,,,0.162384,,,0,SEARCH,0,0,1
5.938829,23,1786849561271,4.075,1,ok,640,480,search,,,,,,,,0.161114,,,0,SEARCH,0,0,1
6.100476,24,1786849561428,8.216,1,ok,640,480,search,,,,,,,,0.161646,,,0,SEARCH,0,0,1
6.261626,25,1786849561592,5.704,1,ok,640,480,search,,,,,,,,0.16115,,,0,SEARCH,0,0,1
6.422925,26,1786849561748,11.319,1,ok,640,480,search,,,,,,,,0.161299,,,0,SEARCH,0,0,1
6.584464,27,1786849561910,10.354,1,ok,640,480,search,,,,,,,,0.161539,,,0,SEARCH,0,0,1
6.76566,28,1786849562088,13.413,1,ok,640,480,search,,,,,,,,0.181197,,,0,SEARCH,0,0,1
6.928025,29,1786849562257,7.077,1,ok,640,480,search,,,,,,,,0.162365,,,0,SEARCH,0,0,1
7.089612,30,1786849562415,10.861,1,ok,640,480,search,,,,,,,,0.161587,,,0,SEARCH,0,0,1
7.231001,31,1786849562559,7.976,1,ok,640,480,search,,,,,,,,0.141389,,,0,SEARCH,0,0,1
7.673712,,,,0,no_data_or_stale,,,search,,,,,,,,0.442711,,,0,VISION_STOP,0,0,1
7.826457,32,1786849563156,6.972,1,ok,640,480,search,,,,,,,,0.152745,,,0,SEARCH,0,0,1
7.987694,33,1786849563319,5.157,1,ok,640,480,search,,,,,,,,0.161237,,,0,SEARCH,0,0,1
8.129951,34,1786849563464,1.694,1,ok,640,480,search,,,,,,,,0.142257,,,0,SEARCH,0,0,1
8.29149,35,1786849563625,2.956,1,ok,640,480,search,,,,,,,,0.161539,,,0,SEARCH,0,0,1
8.473259,36,1786849563806,2.833,1,ok,640,480,search,,,,,,,,0.181768,,,0,SEARCH,0,0,1
8.635543,37,1786849563961,10.852,1,ok,640,480,search,,,,,,,,0.162284,,,0,SEARCH,0,0,1
8.776404,38,1786849564106,6.755,1,ok,640,480,search,,,,,,,,0.140861,,,0,SEARCH,0,0,1
8.917588,39,1786849564252,1.435,1,ok,640,480,search,,,,,,,,0.141184,,,0,SEARCH,0,0,1
9.079658,40,1786849564401,14.336,1,ok,640,480,push,good,0.956607,239,379,-0.253125,0.579167,,0.16207,-0.253125,-0.253125,-400,ALIGN_LEFT,-400,400,1
9.221405,41,1786849564551,5.905,1,ok,640,480,push,good,0.960114,269,380,-0.159375,0.583333,,0.141747,-0.159375,-0.210938,-400,ALIGN_LEFT,-400,400,1
9.382709,42,1786849564701,17.38,1,ok,640,480,push,good,0.962745,270,380,-0.15625,0.583333,,0.161303,-0.15625,-0.186328,-400,ALIGN_LEFT,-400,400,1
9.543878,43,1786849564863,16.476,1,ok,640,480,push,good,0.955739,279,379,-0.128125,0.579167,,0.16117,-0.128125,-0.160137,-400,ALIGN_LEFT,-400,400,1
9.686254,44,1786849565021,1.714,1,ok,640,480,push,good,0.947388,348,380,0.0875,0.583333,,0.142375,0.0875,-0.0487,-400,ALIGN_LEFT,-400,400,1
9.847267,45,1786849565174,9.47,1,ok,640,480,push,good,0.878734,419,381,0.309375,0.5875,,0.161014,0.309375,0.112434,400,ALIGN_RIGHT,400,-400,1
10.008372,46,1786849565326,18.076,1,ok,640,480,push,good,0.910682,527,385,0.646875,0.604167,,0.161104,0.646875,0.352932,400,ALIGN_RIGHT,400,-400,1
10.149249,47,1786849565479,5.695,1,ok,640,480,push,good,0.958193,551,387,0.721875,0.6125,,0.140877,0.721875,0.518956,400,ALIGN_RIGHT,400,-400,1
10.310326,48,1786849565637,8.947,1,ok,640,480,push,good,0.95724,551,387,0.721875,0.6125,,0.161077,0.721875,0.61027,400,ALIGN_RIGHT,400,-400,1
10.471416,49,1786849565795,12.879,1,ok,640,480,push,good,0.85246,516,386,0.6125,0.608333,,0.161091,0.6125,0.611273,400,ALIGN_RIGHT,400,-400,1
10.612406,50,1786849565948,0.911,1,ok,640,480,push,good,0.875424,374,382,0.16875,0.591667,,0.14099,0.16875,0.412138,400,ALIGN_RIGHT,400,-400,1
10.774418,51,1786849566107,3.5,1,ok,640,480,push,good,0.654306,251,379,-0.215625,0.579167,,0.162012,-0.215625,0.129645,400,ALIGN_RIGHT,400,-400,1
10.93587,52,1786849566261,11.49,1,ok,640,480,search,,,,,,,,0.161452,,,0,SEARCH,0,0,1
11.077701,53,1786849566412,1.828,1,ok,640,480,push,good,0.651505,124,377,-0.6125,0.570833,,0.141831,-0.6125,-0.6125,-400,ALIGN_LEFT,-400,400,1
11.23876,54,1786849566564,10.858,1,ok,640,480,push,good,0.60699,108,374,-0.6625,0.558333,,0.161059,-0.6625,-0.635,-400,ALIGN_LEFT,-400,400,1
11.381642,55,1786849566716,2.179,1,ok,640,480,search,,,,,,,,0.142883,,,0,SEARCH,0,0,1
11.543164,56,1786849566875,4.655,1,ok,640,480,search,,,,,,,,0.161522,,,0,SEARCH,0,0,1
11.704791,57,1786849567025,16.152,1,ok,640,480,push,good,0.897255,204,380,-0.3625,0.583333,,0.161626,-0.3625,-0.3625,-400,ALIGN_LEFT,-400,400,1
11.84589,58,1786849567180,1.428,1,ok,640,480,push,good,0.786353,198,379,-0.38125,0.579167,,0.1411,-0.38125,-0.370938,-400,ALIGN_LEFT,-400,400,1
12.027049,59,1786849567347,16.156,1,ok,640,480,push,good,0.6158,166,380,-0.48125,0.583333,,0.181159,-0.48125,-0.420578,-400,ALIGN_LEFT,-400,400,1
12.188011,60,1786849567507,17.374,1,ok,640,480,push,good,0.811376,195,379,-0.390625,0.579167,,0.160962,-0.390625,-0.407099,-400,ALIGN_LEFT,-400,400,1
12.635896,,,,0,no_data_or_stale,,,search,,,,,,,,0.447885,,,0,VISION_STOP,0,0,1
12.776862,61,1786849568086,8.504,1,ok,640,480,push,good,0.935237,243,380,-0.240625,0.583333,,0.140966,-0.240625,-0.240625,-400,ALIGN_LEFT,-400,400,1
12.958467,62,1786849568276,18.13,1,ok,640,480,push,good,0.947318,297,380,-0.071875,0.583333,,0.181605,-0.071875,-0.164688,-400,ALIGN_LEFT,-400,400,1
13.119919,63,1786849568444,11.596,1,ok,640,480,push,good,0.954396,368,383,0.15,0.595833,,0.161452,0.15,-0.023078,0,ALIGNED,0,0,1
13.281553,64,1786849568609,8.744,1,ok,640,480,push,good,0.896739,384,382,0.2,0.591667,,0.161635,0.2,0.077307,400,ALIGN_RIGHT,400,-400,1
13.462878,65,1786849568789,9.728,1,ok,640,480,push,good,0.932039,396,383,0.2375,0.595833,,0.181325,0.2375,0.149394,400,ALIGN_RIGHT,400,-400,1
13.624613,66,1786849568949,11.441,1,ok,640,480,push,good,0.943129,361,382,0.128125,0.591667,,0.161735,0.128125,0.139823,400,ALIGN_RIGHT,400,-400,1
13.785797,67,1786849569108,13.473,1,ok,640,480,push,good,0.95194,326,381,0.01875,0.5875,,0.161184,0.01875,0.08534,400,ALIGN_RIGHT,400,-400,1
13.967746,68,1786849569284,19.473,1,ok,640,480,push,good,0.953058,275,380,-0.140625,0.583333,,0.181949,-0.140625,-0.016344,0,ALIGNED,0,0,1
14.108766,69,1786849569445,0.271,1,ok,640,480,push,good,0.865167,192,377,-0.4,0.570833,,0.14102,-0.4,-0.188989,-400,ALIGN_LEFT,-400,400,1
14.270049,70,1786849569603,3.369,1,ok,640,480,search,,,,,,,,0.161283,,,0,SEARCH,0,0,1
14.432313,71,1786849569768,0.056,1,ok,640,480,search,,,,,,,,0.162263,,,0,SEARCH,0,0,1
14.613456,72,1786849569930,19.53,1,ok,640,480,search,,,,,,,,0.181143,,,0,SEARCH,0,0,1
14.754564,73,1786849570087,3.332,1,ok,640,480,push,good,0.667087,210,379,-0.34375,0.579167,,0.141108,-0.34375,-0.34375,-400,ALIGN_LEFT,-400,400,1
14.915579,74,1786849570245,6.627,1,ok,640,480,push,good,0.842358,254,379,-0.20625,0.579167,,0.161016,-0.20625,-0.281875,-400,ALIGN_LEFT,-400,400,1
