t,sequence,vision_timestamp_ms,received_age_ms,valid,reason,frame_width,frame_height,action,target_type,confidence,center_x,center_y,offset_x,offset_y,distance_cm,dt,error_x_normalized,filtered_error,turn_command,state,left_cmd,right_cmd,motor_enabled
0.006673,,,,0,no_data_or_stale,,,search,,,,,,,,,,,0,VISION_STOP,0,0,1
2.200482,1,1786522521888,14.967,1,ok,640,480,scan_with_ir,bad,0.92693,333,291,0.040625,0.2125,,2.193809,,,0,SEARCH,0,0,1
2.649467,,,,0,no_data_or_stale,,,search,,,,,,,,0.448985,,,0,VISION_STOP,0,0,1
2.710621,2,1786522522404,8.896,1,ok,640,480,push,good,0.923208,610,309,0.90625,0.2875,,0.061154,0.90625,0.90625,544,ALIGN_RIGHT,544,-544,1
3.155308,,,,0,no_data_or_stale,,,search,,,,,,,,0.444687,,,0,VISION_STOP,0,0,1
3.497127,3,1786522523189,10.599,1,ok,640,480,push,good,0.920655,334,289,0.04375,0.204167,,0.34182,0.04375,0.04375,400,ALIGN_RIGHT,400,-400,1
3.944801,,,,0,no_data_or_stale,,,search,,,,,,,,0.447674,,,0,VISION_STOP,0,0,1
4.045605,4,1786522523747,0.865,1,ok,640,480,push,good,0.913306,333,289,0.040625,0.204167,,0.100804,0.040625,0.040625,400,ALIGN_RIGHT,400,-400,1
4.51247,,,,0,no_data_or_stale,,,search,,,,,,,,0.466865,,,0,VISION_STOP,0,0,1
4.676122,5,1786522524363,15.856,1,ok,640,480,push,good,0.960765,270,304,-0.15625,0.266667,,0.163651,-0.15625,-0.15625,-400,ALIGN_LEFT,-400,400,1
5.121041,,,,0,no_data_or_stale,,,search,,,,,,,,0.444919,,,0,VISION_STOP,0,0,1
5.704995,6,1786522525408,0.127,1,ok,640,480,search,,,,,,,,0.583954,,,0,SEARCH,0,0,1
6.160741,,,,0,no_data_or_stale,,,search,,,,,,,,0.455746,,,0,VISION_STOP,0,0,1
6.624486,7,1786522526322,5.114,1,ok,640,480,search,,,,,,,,0.463745,,,0,SEARCH,0,0,1
7.069573,,,,0,no_data_or_stale,,,search,,,,,,,,0.445086,,,0,VISION_STOP,0,0,1
7.214625,8,1786522526910,6.963,1,ok,640,480,search,,,,,,,,0.145052,,,0,SEARCH,0,0,1
7.659396,,,,0,no_data_or_stale,,,search,,,,,,,,0.444772,,,0,VISION_STOP,0,0,1
7.887746,9,1786522527576,14.655,1,ok,640,480,search,,,,,,,,0.22835,,,0,SEARCH,0,0,1
8.330992,,,,0,no_data_or_stale,,,search,,,,,,,,0.443245,,,0,VISION_STOP,0,0,1
8.733265,10,1786522528423,12.679,1,ok,640,480,search,,,,,,,,0.402274,,,0,SEARCH,0,0,1
9.175712,,,,0,no_data_or_stale,,,search,,,,,,,,0.442447,,,0,VISION_STOP,0,0,1
9.376873,11,1786522529068,11.908,1,ok,640,480,search,,,,,,,,0.201161,,,0,SEARCH,0,0,1
9.819293,,,,0,no_data_or_stale,,,search,,,,,,,,0.44242,,,0,VISION_STOP,0,0,1
10.041058,12,1786522529730,14.353,1,ok,640,480,search,,,,,,,,0.221765,,,0,SEARCH,0,0,1
10.495174,,,,0,no_data_or_stale,,,search,,,,,,,,0.454116,,,0,VISION_STOP,0,0,1
11.024469,13,1786522530717,10.035,1,ok,640,480,search,,,,,,,,0.529294,,,0,SEARCH,0,0,1
11.468324,,,,0,no_data_or_stale,,,search,,,,,,,,0.443855,,,0,VISION_STOP,0,0,1
11.830143,14,1786522531521,11.663,1,ok,640,480,search,,,,,,,,0.361819,,,0,SEARCH,0,0,1
12.273267,,,,0,no_data_or_stale,,,search,,,,,,,,0.443125,,,0,VISION_STOP,0,0,1
12.676788,15,1786522532366,13.293,1,ok,640,480,search,,,,,,,,0.403521,,,0,SEARCH,0,0,1
13.123582,,,,0,no_data_or_stale,,,search,,,,,,,,0.446794,,,0,VISION_STOP,0,0,1
13.225709,16,1786522532909,19.267,1,ok,640,480,search,,,,,,,,0.102127,,,0,SEARCH,0,0,1
13.672049,,,,0,no_data_or_stale,,,search,,,,,,,,0.44634,,,0,VISION_STOP,0,0,1
14.016291,17,1786522533708,11.039,1,ok,640,480,search,,,,,,,,0.344242,,,0,SEARCH,0,0,1
14.466922,,,,0,no_data_or_stale,,,search,,,,,,,,0.450631,,,0,VISION_STOP,0,0,1
