t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,good_confidence,good_acquire_count,good_miss_count,good_locked,near_direction,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,enemy_bad_interrupt_count,vision_sequence,vision_status,vision_has_good,vision_has_bad,reason,left_cmd,right_cmd,healthy
0.026,666.0,891.0,850.0,670.0,0.5325,0.5139,0.25,-0.0168,0.3819,0,0,1,0,0,0,1,-1465.0,636.0,1200.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.046,675.0,904.0,861.0,680.0,0.5464,0.5268,0.2633,0.0,0.3951,0,0,1,0,0,0,1,-1449.0,818.0,1198.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,传感器无效或数据过期,0,0,1
0.067,662.0,884.0,846.0,665.0,0.5201,0.5,0.2403,-0.0336,0.3701,0,0,1,0,0,0,1,-759.0,637.0,1198.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.087,652.0,873.0,834.0,653.0,0.5046,0.4891,0.2257,-0.0537,0.3574,0,0,1,0,0,0,1,-1396.0,638.0,1200.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,等待滤波窗口,0,0,1
0.107,652.0,873.0,834.0,653.0,0.4892,0.4782,0.2112,-0.0738,0.3447,0,0,1,0,0,0,1,-1396.0,638.0,1200.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.127,647.0,866.0,828.0,650.0,0.4892,0.4782,0.2112,-0.0738,0.3447,0,0,1,0,0,0,1,-1449.0,976.0,1224.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.147,665.0,896.0,850.0,672.0,0.4892,0.4782,0.2112,-0.0738,0.3447,0,0,1,0,0,0,1,-1408.0,638.0,1198.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.167,678.0,909.0,865.0,683.0,0.5294,0.5238,0.25,-0.0101,0.3869,0,0,1,0,0,0,1,-1393.0,1199.0,1201.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.187,675.0,903.0,860.0,679.0,0.5604,0.5377,0.2743,0.0134,0.406,0,0,1,0,0,0,1,-1450.0,462.0,1200.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.207,680.0,911.0,866.0,684.0,0.5697,0.5496,0.2864,0.0268,0.418,0,0,1,0,0,0,1,-1448.0,701.0,1200.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.227,675.0,904.0,861.0,680.0,0.5604,0.5397,0.2767,0.0168,0.4082,0,0,1,0,0,0,1,-1437.0,882.0,1196.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.248,679.0,909.0,866.0,683.0,0.5728,0.5496,0.2888,0.0268,0.4192,0,0,1,0,0,0,1,-1449.0,457.0,1200.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.268,681.0,911.0,867.0,685.0,0.5728,0.5496,0.2888,0.0268,0.4192,0,0,1,0,0,0,1,-1450.0,540.0,1216.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.288,677.0,905.0,862.0,681.0,0.5728,0.5496,0.2888,0.0268,0.4192,0,0,1,0,0,0,1,-1359.0,990.0,1200.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.308,679.0,904.0,861.0,680.0,0.5728,0.5417,0.2791,0.0201,0.4104,0,0,1,0,0,0,1,-1443.0,638.0,1198.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
0.328,681.0,901.0,859.0,678.0,0.5728,0.5397,0.2767,0.0168,0.4082,0,0,1,0,0,0,1,-1449.0,637.0,1200.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,,,0,,IDLE,,,0,0,0,idle,0,,stale,0,0,前向灰度趋势变暗，提前离边,-400,-400,1
