t,label,measured_distance_cm,sequence,vision_timestamp_ms,received_age_ms,vision_valid,vision_status,vision_error,frame_width,frame_height,action,fps,inference_ms,detection_count,detection_index,selected_target,class_id,target_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_area,bbox_area_ratio,center_x,center_y,offset_x,offset_y,model_distance_cm,sensor_valid,sensor_error,io_mask,avoid_state,avoid_reason,bad_offset_x,bad_bbox_area_ratio,left_cmd,right_cmd,motor_enabled,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8,adc9,io0,io1,io2,io3,io4,io5,io6,io7
0.013466,bad_left_far,,,,,0,no_data_or_stale,,,,search,,,0,,,,,,,,,,,,,,,,,,,1,,238,VISION_STOP,no_data_or_stale,,,0,0,1,1155,1301,1011,1262,23,939,729,939,8,9,0,1,1,1,0,1,1,1
1.520942,bad_left_far,,1,1786864109133,7.730369000000792,1,target,,640,480,push,3.619309,170.721968,2,0,0,0,good,0.94558,556,292,640,411,84.0,119.0,9996.0,0.0325390625,598,352,0.86875,0.466667,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.1599609375,400,-400,1,1140,1284,996,1248,22,938,777,921,8,10,0,1,1,1,1,1,1,1
1.520942,bad_left_far,,1,1786864109133,7.730369000000792,1,target,,640,480,push,3.619309,170.721968,2,1,1,1,bad,0.951999,181,291,441,480,260.0,189.0,49140.0,0.1599609375,311,386,-0.028125,0.608333,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.1599609375,400,-400,1,1140,1284,996,1248,22,938,777,921,8,10,0,1,1,1,1,1,1,1
1.702356,bad_left_far,,2,1786864109306,15.901766000069983,1,target,,640,480,push,4.444993,170.897983,2,0,0,0,good,0.945683,557,291,640,411,83.0,120.0,9960.0,0.032421875,599,351,0.871875,0.4625,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.15911458333333334,400,-400,1,1125,1268,984,1231,23,940,777,937,8,10,0,1,1,1,1,1,1,1
1.702356,bad_left_far,,2,1786864109306,15.901766000069983,1,target,,640,480,push,4.444993,170.897983,2,1,1,1,bad,0.951334,181,291,441,479,260.0,188.0,48880.0,0.15911458333333334,311,385,-0.028125,0.604167,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.15911458333333334,400,-400,1,1125,1268,984,1231,23,940,777,937,8,10,0,1,1,1,1,1,1,1
1.864085,bad_left_far,,3,1786864109481,3.2103940000069997,1,target,,640,480,push,4.806902,171.743557,2,0,0,0,good,0.946688,556,291,640,411,84.0,120.0,10080.0,0.0328125,598,351,0.86875,0.4625,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.1599609375,400,-400,1,1116,1287,990,1235,220,957,665,1004,8,10,0,1,1,1,1,1,1,1
1.864085,bad_left_far,,3,1786864109481,3.2103940000069997,1,target,,640,480,push,4.806902,171.743557,2,1,1,1,bad,0.952437,181,291,441,480,260.0,189.0,49140.0,0.1599609375,311,386,-0.028125,0.608333,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.028125,0.1599609375,400,-400,1,1116,1287,990,1235,220,957,665,1004,8,10,0,1,1,1,1,1,1,1
2.045306,bad_left_far,,4,1786864109656,9.026951999885569,1,target,,640,480,push,5.001983,173.045936,2,0,0,0,good,0.926077,541,291,640,415,99.0,124.0,12276.0,0.0399609375,591,353,0.846875,0.470833,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.0625,0.16266276041666666,400,-400,1,1104,1309,1002,1258,23,955,142,1206,9,10,0,1,1,1,1,1,1,1
2.045306,bad_left_far,,4,1786864109656,9.026951999885569,1,target,,640,480,push,5.001983,173.045936,2,1,1,1,bad,0.939584,168,290,431,480,263.0,190.0,49970.0,0.16266276041666666,300,385,-0.0625,0.604167,,1,,254,AVOID_TURN_RIGHT,bad 接近画面中心，原地大转避开,-0.0625,0.16266276041666666,400,-400,1,1104,1309,1002,1258,23,955,142,1206,9,10,0,1,1,1,1,1,1,1
2.226607,bad_left_far,,5,1786864109834,12.77050099997723,1,target,,640,480,push,5.116456,175.037893,2,0,0,0,good,0.960863,487,290,638,399,151.0,109.0,16459.0,0.05357747395833334,563,345,0.759375,0.4375,,1,,255,AVOID_ARC_RIGHT,bad 位于侧方，差速前进绕开,-0.2,0.1525,500,400,1,1104,1333,1002,1257,23,942,26,1386,10,10,1,1,1,1,1,1,1,1
