t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,white_hits,state,reason,risk_sensor,linear_risk,turn_risk,near_edge,speed_level,turn_angle,turn_direction,turn_duration,left_cmd,right_cmd,healthy
0.0,0.0,0.0,0.0,0.0,-1.8122,-1.7386,-1.2758,-2.3862,-1.7754,,SENSOR_STOP,传感器无效或数据过期,,-0.0737,1.1105,1,stop,0.0,,0.0,0,0,0
0.021,526.0,817.0,368.0,1010.0,-1.0966,-0.8486,-0.7632,-1.3319,-0.9726,,WARMUP,等待滤波窗口,,-0.248,0.5687,1,stop,0.0,,0.0,0,0,1
0.041,528.0,819.0,369.0,1013.0,-0.381,0.0414,-0.2507,-0.2777,-0.2642,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4223,0.027,1,slow,0.0,,0.0,-400,-400,1
0.061,528.0,817.0,368.0,1012.0,-0.3755,0.0414,-0.2507,-0.2735,-0.2621,,EDGE_AVOID,灰度趋势变暗，提前避让,front,-0.4169,0.0228,1,slow,0.0,,0.0,-400,-400,1
0.081,528.0,819.0,370.0,1013.0,-0.3755,0.0458,-0.2479,-0.2714,-0.2597,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4213,0.0235,1,danger_turn,180.0,right,1.0,625,-625,1
0.101,527.0,817.0,369.0,1010.0,-0.3755,0.0414,-0.2479,-0.2735,-0.2607,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4169,0.0256,1,danger_turn,180.0,right,1.0,625,-625,1
0.121,529.0,819.0,369.0,1013.0,-0.3755,0.0458,-0.2479,-0.2714,-0.2597,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4213,0.0235,1,danger_turn,180.0,right,1.0,625,-625,1
0.141,526.0,818.0,369.0,1011.0,-0.3782,0.0436,-0.2479,-0.2756,-0.2617,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4218,0.0277,1,danger_turn,180.0,right,1.0,625,-625,1
0.161,527.0,817.0,369.0,1011.0,-0.3782,0.0436,-0.2479,-0.2756,-0.2617,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4218,0.0277,1,danger_turn,180.0,right,1.0,625,-625,1
0.181,528.0,820.0,370.0,1013.0,-0.3782,0.0436,-0.2479,-0.2756,-0.2617,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4218,0.0277,1,danger_turn,180.0,right,1.0,625,-625,1
0.202,528.0,818.0,368.0,1013.0,-0.3755,0.0436,-0.2479,-0.2714,-0.2597,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4191,0.0235,1,danger_turn,180.0,right,1.0,625,-625,1
0.222,528.0,818.0,370.0,1013.0,-0.3755,0.0436,-0.2451,-0.2714,-0.2583,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4191,0.0263,1,danger_turn,180.0,right,1.0,625,-625,1
0.242,527.0,819.0,369.0,1012.0,-0.3755,0.0436,-0.2479,-0.2714,-0.2597,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4191,0.0235,1,danger_turn,180.0,right,1.0,625,-625,1
0.262,527.0,812.0,370.0,1008.0,-0.3782,0.0436,-0.2451,-0.2735,-0.2593,,EDGE_TURN,进入危险区，直接大转 180 度,front,-0.4218,0.0284,1,danger_turn,180.0,right,1.0,625,-625,1
